Tarih,TP_PB_BLV16
2014-06-01,905954.0
2014-07-01,1331944.0
2014-08-01,1871979.0
2014-09-01,1722080.0
2014-10-01,1661058.0
2014-11-01,1656932.0
2014-12-01,1215510.0
2015-01-01,1230323.0
2015-02-01,1313796.0
2015-03-01,1363529.0
2015-04-01,1453048.0
2015-05-01,1478676.0
2015-06-01,1545538.0
2015-07-01,1655587.0
2015-08-01,1737657.0
2015-09-01,1756550.0
2015-10-01,1758527.0
2015-11-01,1769261.0
2015-12-01,1774218.0
2016-01-01,2092776.0
2016-02-01,2142205.0
2016-03-01,2034897.0
2016-04-01,2063665.0
2016-05-01,2136745.0
2016-06-01,1992556.0
2016-07-01,1128342.0
2016-08-01,1107062.0
2016-09-01,1192147.0
2016-10-01,1237301.0
2016-11-01,1245075.0
2016-12-01,1236468.0
2017-01-01,1349471.0
2017-02-01,1386746.0
2017-03-01,1346240.0
2017-04-01,1329980.0
2017-05-01,1347176.0
2017-06-01,1302796.0
2017-07-01,1309118.0
2017-08-01,1249341.0
2017-09-01,1185439.0
2017-10-01,1108552.0
2017-11-01,1087819.0
2017-12-01,992223.0
2018-01-01,0.0
2018-02-01,0.0
2018-03-01,0.0
2018-04-01,0.0
2018-05-01,0.0
2018-06-01,0.0
2018-07-01,0.0
2018-08-01,0.0
2018-09-01,0.0
2018-10-01,0.0
2018-11-01,0.0
2018-12-01,0.0
2019-01-01,0.0
2019-02-01,0.0
2019-03-01,0.0
2019-04-01,0.0
2019-05-01,0.0
2019-06-01,0.0
2019-07-01,0.0
2019-08-01,0.0
2019-09-01,0.0
2019-10-01,0.0
2019-11-01,0.0
2019-12-01,0.0
2020-01-01,0.0
2020-02-01,0.0
2020-03-01,0.0
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,0.0
2020-07-01,0.0
2020-08-01,0.0
2020-09-01,0.0
2020-10-01,0.0
2020-11-01,0.0
2020-12-01,0.0
2021-01-01,0.0
2021-02-01,0.0
2021-03-01,0.0
2021-04-01,0.0
2021-05-01,0.0
2021-06-01,0.0
2021-07-01,0.0
2021-08-01,0.0
2021-09-01,0.0
2021-10-01,0.0
2021-11-01,0.0
2021-12-01,0.0
2022-01-01,0.0
2022-02-01,0.0
2022-03-01,0.0
2022-04-01,0.0
2022-05-01,0.0
2022-06-01,0.0
2022-07-01,0.0
2022-08-01,0.0
2022-09-01,0.0
2022-10-01,0.0
2022-11-01,0.0
2022-12-01,0.0
2023-01-01,0.0
2023-02-01,0.0
2023-03-01,0.0
2023-04-01,0.0
2023-05-01,0.0
2023-06-01,0.0
2023-07-01,0.0
2023-08-01,0.0
2023-09-01,0.0
2023-10-01,0.0
2023-11-01,0.0
2023-12-01,0.0
2024-01-01,0.0
2024-02-01,0.0
2024-03-01,0.0
2024-04-01,0.0
2024-05-01,0.0
2024-06-01,0.0
2024-07-01,0.0
2024-08-01,0.0
2024-09-01,0.0
2024-10-01,0.0
2024-11-01,0.0
2024-12-01,0.0
2025-01-01,0.0
2025-02-01,0.0
2025-03-01,0.0
2025-04-01,0.0
2025-05-01,0.0
2025-06-01,0.0
2025-07-01,0.0
2025-08-01,0.0
