Tarih,TP_IYA_CDUR2_S01_B
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,6.9
2007-02-01,58.4
2007-03-01,72.2
2007-04-01,25.2
2007-05-01,43.8
2007-06-01,56.2
2007-07-01,19.9
2007-08-01,68.5
2007-09-01,42.6
2007-10-01,22.5
2007-11-01,62.0
2007-12-01,21.4
2008-01-01,25.4
2008-02-01,18.5
2008-03-01,68.5
2008-04-01,63.0
2008-05-01,77.3
2008-06-01,25.5
2008-07-01,80.1
2008-08-01,52.0
2008-09-01,57.2
2008-10-01,47.6
2008-11-01,39.4
2008-12-01,40.4
2009-01-01,64.4
2009-02-01,55.7
2009-03-01,38.0
2009-04-01,32.8
2009-05-01,4.7
2009-06-01,11.7
2009-07-01,12.5
2009-08-01,12.4
2009-09-01,28.2
2009-10-01,16.6
2009-11-01,16.2
2009-12-01,48.9
2010-01-01,62.5
2010-02-01,62.9
2010-03-01,37.3
2010-04-01,54.5
2010-05-01,40.2
2010-06-01,34.3
2010-07-01,30.5
2010-08-01,30.7
2010-09-01,34.4
2010-10-01,39.0
2010-11-01,35.5
2010-12-01,39.5
2011-01-01,34.2
2011-02-01,60.6
2011-03-01,59.2
2011-04-01,32.8
2011-05-01,28.0
2011-06-01,31.1
2011-07-01,29.9
2011-08-01,32.0
2011-09-01,35.8
2011-10-01,41.3
2011-11-01,34.8
2011-12-01,64.8
2012-01-01,64.6
2012-02-01,24.7
2012-03-01,22.1
2012-04-01,43.5
2012-05-01,38.9
2012-06-01,39.8
2012-07-01,36.3
2012-08-01,43.3
2012-09-01,46.7
2012-10-01,53.5
2012-11-01,70.8
2012-12-01,77.9
2013-01-01,65.6
2013-02-01,62.0
2013-03-01,36.2
2013-04-01,73.7
2013-05-01,59.2
2013-06-01,64.0
2013-07-01,49.7
2013-08-01,62.8
2013-09-01,27.2
2013-10-01,23.8
2013-11-01,58.8
2013-12-01,53.8
2014-01-01,82.9
2014-02-01,85.1
2014-03-01,43.7
2014-04-01,45.7
2014-05-01,30.5
2014-06-01,77.5
2014-07-01,31.5
2014-08-01,30.0
2014-09-01,72.2
2014-10-01,50.5
2014-11-01,59.7
2014-12-01,26.3
2015-01-01,30.0
2015-02-01,41.6
2015-03-01,67.5
2015-04-01,46.9
2015-05-01,47.0
