Tarih,TP_KB_FON074
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,0.0
2010-02-01,200.0
2010-03-01,7.0
2010-04-01,3.0
2010-05-01,62.0
2010-06-01,125.0
2010-07-01,52.0
2010-08-01,1.0
2010-09-01,1.0
2010-10-01,1.0
2010-11-01,1.0
2010-12-01,1.0
2011-01-01,138.0
2011-02-01,75.0
2011-03-01,124.0
2011-04-01,38.0
2011-05-01,85.0
2011-06-01,50.0
2011-07-01,152.0
2011-08-01,146.0
2011-09-01,15310.0
2011-10-01,51.0
2011-11-01,92.0
2011-12-01,1599.0
2012-01-01,367.0
2012-02-01,137.0
2012-03-01,520.0
2012-04-01,76.0
2012-05-01,342.0
2012-06-01,110.0
2012-07-01,81.0
2012-08-01,61.0
2012-09-01,91.0
2012-10-01,72.0
2012-11-01,116.0
2012-12-01,138.0
2013-01-01,115.0
2013-02-01,88.0
2013-03-01,92.0
2013-04-01,101.0
2013-05-01,95.0
2013-06-01,1317.0
2013-07-01,1301.0
2013-08-01,1471.0
2013-09-01,5409.0
2013-10-01,1476.0
2013-11-01,1834.0
2013-12-01,1683.0
2014-01-01,602.0
2014-02-01,162.0
2014-03-01,163.0
2014-04-01,71.0
2014-05-01,65.0
2014-06-01,10553.0
2014-07-01,196.0
2014-08-01,2184.0
2014-09-01,4211.0
2014-10-01,6032.0
2014-11-01,7470.0
2014-12-01,4777.0
2015-01-01,4748.0
