Tarih,TP_KB_FON038
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,2.0
2006-01-01,4.0
2006-02-01,5.0
2006-03-01,3.0
2006-04-01,2.0
2006-05-01,1.0
2006-06-01,2.0
2006-07-01,3.0
2006-08-01,2.0
2006-09-01,1.0
2006-10-01,17.0
2006-11-01,1.0
2006-12-01,7.0
2007-01-01,7.0
2007-02-01,0.0
2007-03-01,7.0
2007-04-01,5.0
2007-05-01,9.0
2007-06-01,7.0
2007-07-01,8.0
2007-08-01,3.0
2007-09-01,1.0
2007-10-01,5.0
2007-11-01,1.0
2007-12-01,37.0
2008-01-01,52.0
2008-02-01,20.0
2008-03-01,27.0
2008-04-01,35.0
2008-05-01,726.0
2008-06-01,39.0
2008-07-01,43.0
2008-08-01,31.0
2008-09-01,28.0
2008-10-01,34.0
2008-11-01,55.0
2008-12-01,100.0
2009-01-01,57.0
2009-02-01,54.0
2009-03-01,61.0
2009-04-01,31.0
2009-05-01,85.0
2009-06-01,65.0
2009-07-01,42.0
2009-08-01,65.0
2009-09-01,36.0
2009-10-01,101.0
2009-11-01,151.0
2009-12-01,126.0
2010-01-01,122.0
2010-02-01,56.0
2010-03-01,131.0
2010-04-01,165.0
2010-05-01,216.0
2010-06-01,483.0
2010-07-01,261.0
2010-08-01,184.0
2010-09-01,208.0
2010-10-01,123.0
2010-11-01,43.0
2010-12-01,47.0
2011-01-01,59.0
2011-02-01,56.0
2011-03-01,71.0
2011-04-01,82.0
2011-05-01,46.0
2011-06-01,51.0
2011-07-01,46.0
2011-08-01,47.0
2011-09-01,5.0
2011-10-01,23.0
2011-11-01,23.0
2011-12-01,40.0
2012-01-01,49.0
2012-02-01,27.0
2012-03-01,32.0
2012-04-01,36.0
2012-05-01,12.0
2012-06-01,2.0
2012-07-01,4.0
2012-08-01,7.0
2012-09-01,7.0
2012-10-01,8.0
2012-11-01,40.0
2012-12-01,12.0
2013-01-01,13.0
2013-02-01,14.0
2013-03-01,12.0
2013-04-01,0.0
2013-05-01,0.0
2013-06-01,0.0
2013-07-01,0.0
2013-08-01,0.0
2013-09-01,0.0
2013-10-01,0.0
2013-11-01,0.0
2013-12-01,0.0
2014-01-01,0.0
2014-02-01,0.0
2014-03-01,0.0
2014-04-01,0.0
2014-05-01,0.0
2014-06-01,0.0
2014-07-01,0.0
2014-08-01,0.0
2014-09-01,0.0
2014-10-01,0.0
2014-11-01,0.0
2014-12-01,0.0
2015-01-01,0.0
2015-02-01,0.0
