Tarih,TP_BISBORCORAN_QES
2000-01-01,12.7
2000-04-01,13.0
2000-07-01,13.8
2000-10-01,13.9
2001-01-01,14.2
2001-04-01,14.4
2001-07-01,15.0
2001-10-01,15.1
2002-01-01,15.0
2002-04-01,15.0
2002-07-01,15.1
2002-10-01,15.2
2003-01-01,15.1
2003-04-01,15.4
2003-07-01,15.4
2003-10-01,15.8
2004-01-01,15.9
2004-04-01,16.5
2004-07-01,16.6
2004-10-01,17.2
2005-01-01,17.6
2005-04-01,18.2
2005-07-01,18.5
2005-10-01,19.0
2006-01-01,19.5
2006-04-01,20.4
2006-07-01,21.2
2006-10-01,22.1
2007-01-01,22.6
2007-04-01,23.5
2007-07-01,24.5
2007-10-01,24.5
2008-01-01,24.6
2008-04-01,24.6
2008-07-01,24.5
2008-10-01,23.9
2009-01-01,24.0
2009-04-01,23.0
2009-07-01,22.3
2009-10-01,21.8
2010-01-01,21.4
2010-04-01,21.5
2010-07-01,21.5
2010-10-01,21.5
2011-01-01,21.2
2011-04-01,21.4
2011-07-01,21.3
2011-10-01,21.3
2012-01-01,21.3
2012-04-01,21.3
2012-07-01,20.9
2012-10-01,20.2
2013-01-01,19.8
2013-04-01,19.2
2013-07-01,19.0
2013-10-01,18.7
2014-01-01,18.4
2014-04-01,18.4
2014-07-01,18.1
2014-10-01,17.4
2015-01-01,17.0
2015-04-01,16.5
2015-07-01,16.0
2015-10-01,16.0
2016-01-01,15.7
2016-04-01,15.4
2016-07-01,15.1
2016-10-01,15.0
2017-01-01,14.8
2017-04-01,14.7
2017-07-01,14.4
2017-10-01,14.1
2018-01-01,14.0
2018-04-01,14.0
2018-07-01,13.8
2018-10-01,13.7
2019-01-01,13.6
2019-04-01,13.5
2019-07-01,13.4
2019-10-01,13.2
2020-01-01,13.2
2020-04-01,14.2
2020-07-01,14.1
2020-10-01,14.5
2021-01-01,14.5
2021-04-01,14.4
2021-07-01,14.2
2021-10-01,14.1
2022-01-01,13.7
2022-04-01,13.6
2022-07-01,13.4
2022-10-01,13.3
2023-01-01,13.2
2023-04-01,13.2
2023-07-01,13.1
2023-10-01,13.2
2024-01-01,13.2
2024-04-01,13.1
2024-07-01,12.9
2024-10-01,12.6
2025-01-01,12.2
