Tarih,TP_BISBORCORAN_QIN
2000-01-01,8.5
2000-04-01,8.6
2000-07-01,8.6
2000-10-01,8.9
2001-01-01,9.0
2001-04-01,8.8
2001-07-01,8.7
2001-10-01,8.7
2002-01-01,8.8
2002-04-01,9.1
2002-07-01,8.8
2002-10-01,8.8
2003-01-01,8.8
2003-04-01,8.4
2003-07-01,8.0
2003-10-01,8.0
2004-01-01,8.1
2004-04-01,8.0
2004-07-01,7.9
2004-10-01,8.4
2005-01-01,8.6
2005-04-01,8.7
2005-07-01,9.3
2005-10-01,9.5
2006-01-01,10.5
2006-04-01,10.4
2006-07-01,10.9
2006-10-01,11.1
2007-01-01,12.2
2007-04-01,12.0
2007-07-01,12.4
2007-10-01,12.6
2008-01-01,13.6
2008-04-01,13.3
2008-07-01,14.0
2008-10-01,14.5
2009-01-01,14.8
2009-04-01,13.8
2009-07-01,13.4
2009-10-01,12.8
2010-01-01,12.9
2010-04-01,12.5
2010-07-01,12.5
2010-10-01,13.3
2011-01-01,13.6
2011-04-01,13.7
2011-07-01,13.8
2011-10-01,14.5
2012-01-01,14.8
2012-04-01,14.6
2012-07-01,14.8
2012-10-01,15.0
2013-01-01,14.6
2013-04-01,14.2
2013-07-01,14.1
2013-10-01,13.8
2014-01-01,13.9
2014-04-01,13.7
2014-07-01,13.8
2014-10-01,14.0
2015-01-01,13.8
2015-04-01,13.3
2015-07-01,13.2
2015-10-01,13.1
2016-01-01,12.4
2016-04-01,12.1
2016-07-01,11.3
2016-10-01,11.3
2017-01-01,11.1
2017-04-01,11.6
2017-07-01,11.8
2017-10-01,12.5
2018-01-01,11.9
2018-04-01,11.8
2018-07-01,11.6
2018-10-01,11.6
2019-01-01,11.3
2019-04-01,10.9
2019-07-01,10.7
2019-10-01,10.7
2020-01-01,10.3
2020-04-01,10.8
2020-07-01,10.9
2020-10-01,10.8
2021-01-01,10.3
2021-04-01,9.7
2021-07-01,9.4
2021-10-01,9.5
2022-01-01,9.3
2022-04-01,9.2
2022-07-01,9.4
2022-10-01,9.6
2023-01-01,9.9
2023-04-01,10.4
2023-07-01,10.4
2023-10-01,10.7
2024-01-01,10.9
2024-04-01,11.1
2024-07-01,11.1
2024-10-01,11.3
2025-01-01,11.4
