Tarih,TP_BKEA_S082
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,29.4
2006-01-01,31.3
2006-04-01,-30.8
2006-07-01,19.3
2006-10-01,19.4
2007-01-01,26.3
2007-04-01,43.4
2007-07-01,42.2
2007-10-01,37.9
2008-01-01,-11.8
2008-04-01,11.8
2008-07-01,-16.0
2008-10-01,-35.0
2009-01-01,-28.7
2009-04-01,15.8
2009-07-01,-5.9
2009-10-01,0.0
2010-01-01,29.6
2010-04-01,22.6
2010-07-01,0.0
2010-10-01,18.6
2011-01-01,14.5
2011-04-01,5.6
2011-07-01,0.0
2011-10-01,0.0
2012-01-01,13.8
2012-04-01,0.0
2012-07-01,0.0
2012-10-01,-4.4
2013-01-01,21.0
2013-04-01,5.6
2013-07-01,15.5
2013-10-01,-5.4
2014-01-01,0.1
2014-04-01,2.0
2014-07-01,5.7
2014-10-01,-0.8
2015-01-01,37.6
2015-04-01,20.7
2015-07-01,38.5
2015-10-01,16.5
2016-01-01,-0.1
2016-04-01,5.5
2016-07-01,-0.6
2016-10-01,20.0
2017-01-01,0.0
2017-04-01,0.0
2017-07-01,14.7
2017-10-01,18.0
2018-01-01,18.0
2018-04-01,12.8
2018-07-01,-5.1
2018-10-01,-5.3
2019-01-01,11.5
2019-04-01,0.0
2019-07-01,16.2
2019-10-01,32.8
2020-01-01,-12.4
2020-04-01,46.1
2020-07-01,0.0
2020-10-01,10.4
2021-01-01,27.2
2021-04-01,0.0
2021-07-01,10.5
2021-10-01,0.0
2022-01-01,-4.7
2022-04-01,0.0
2022-07-01,-4.5
2022-10-01,0.0
2023-01-01,-4.2
2023-04-01,-18.4
2023-07-01,-18.1
2023-10-01,0.0
2024-01-01,-3.3
2024-04-01,13.5
2024-07-01,0.0
2024-10-01,0.0
2025-01-01,8.6
2025-04-01,8.6
2025-07-01,15.5
