Tarih,TP_BKEA_S113
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,-17.3
2006-01-01,-24.6
2006-04-01,-19.3
2006-07-01,0.0
2006-10-01,0.0
2007-01-01,0.0
2007-04-01,0.1
2007-07-01,0.1
2007-10-01,-11.9
2008-01-01,-12.1
2008-04-01,-0.2
2008-07-01,-16.3
2008-10-01,-51.2
2009-01-01,-18.9
2009-04-01,0.2
2009-07-01,6.2
2009-10-01,16.6
2010-01-01,15.3
2010-04-01,8.2
2010-07-01,-5.8
2010-10-01,10.3
2011-01-01,-5.7
2011-04-01,-14.5
2011-07-01,-14.4
2011-10-01,-4.6
2012-01-01,-5.1
2012-04-01,5.2
2012-07-01,14.6
2012-10-01,4.4
2013-01-01,0.0
2013-04-01,16.4
2013-07-01,0.6
2013-10-01,-15.7
2014-01-01,-15.3
2014-04-01,9.8
2014-07-01,4.8
2014-10-01,15.2
2015-01-01,-15.4
2015-04-01,5.5
2015-07-01,5.7
2015-10-01,-12.2
2016-01-01,4.4
2016-04-01,-12.2
2016-07-01,-20.8
2016-10-01,15.1
2017-01-01,0.0
2017-04-01,6.8
2017-07-01,12.4
2017-10-01,12.5
2018-01-01,0.0
2018-04-01,-5.4
2018-07-01,-54.2
2018-10-01,-53.5
2019-01-01,-2.5
2019-04-01,-5.4
2019-07-01,5.6
2019-10-01,12.9
2020-01-01,18.0
2020-04-01,27.0
2020-07-01,4.7
2020-10-01,-5.4
2021-01-01,-10.7
2021-04-01,-10.9
2021-07-01,0.0
2021-10-01,10.9
2022-01-01,-4.7
2022-04-01,10.7
2022-07-01,-4.6
2022-10-01,-5.5
2023-01-01,-4.2
2023-04-01,-9.8
2023-07-01,-18.0
2023-10-01,-9.4
2024-01-01,-3.0
2024-04-01,-0.8
2024-07-01,-10.3
2024-10-01,-9.4
2025-01-01,-16.0
2025-04-01,2.0
2025-07-01,9.4
