Tarih,TP_BKEA_S039
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,0.0
2006-01-01,0.0
2006-04-01,0.0
2006-07-01,-19.2
2006-10-01,-18.7
2007-01-01,0.0
2007-04-01,0.0
2007-07-01,0.0
2007-10-01,5.6
2008-01-01,5.4
2008-04-01,0.0
2008-07-01,0.0
2008-10-01,-1.1
2009-01-01,-3.1
2009-04-01,-0.8
2009-07-01,-0.7
2009-10-01,-2.1
2010-01-01,-0.6
2010-04-01,0.0
2010-07-01,-2.3
2010-10-01,2.4
2011-01-01,0.0
2011-04-01,0.0
2011-07-01,0.0
2011-10-01,0.0
2012-01-01,0.0
2012-04-01,0.0
2012-07-01,0.0
2012-10-01,0.0
2013-01-01,0.0
2013-04-01,0.0
2013-07-01,0.0
2013-10-01,0.0
2014-01-01,16.0
2014-04-01,11.8
2014-07-01,0.0
2014-10-01,-9.9
2015-01-01,0.0
2015-04-01,-14.3
2015-07-01,21.2
2015-10-01,-8.0
2016-01-01,-9.3
2016-04-01,-3.3
2016-07-01,10.4
2016-10-01,10.4
2017-01-01,0.7
2017-04-01,4.9
2017-07-01,0.0
2017-10-01,0.0
2018-01-01,0.0
2018-04-01,-11.9
2018-07-01,-2.6
2018-10-01,-2.9
2019-01-01,9.3
2019-04-01,-5.6
2019-07-01,14.7
2019-10-01,18.4
2020-01-01,0.0
2020-04-01,0.0
2020-07-01,-1.2
2020-10-01,17.1
2021-01-01,11.1
2021-04-01,-7.1
2021-07-01,15.9
2021-10-01,0.0
2022-01-01,0.0
2022-04-01,0.0
2022-07-01,0.0
2022-10-01,3.3
2023-01-01,0.0
2023-04-01,-6.3
2023-07-01,-28.7
2023-10-01,-38.0
2024-01-01,-37.9
2024-04-01,-41.6
2024-07-01,-58.2
2024-10-01,-36.6
2025-01-01,-14.2
2025-04-01,-8.0
2025-07-01,-6.0
