Tarih,TP_BKEA_S081
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,10.9
2006-01-01,12.3
2006-04-01,-30.8
2006-07-01,-27.3
2006-10-01,-7.1
2007-01-01,18.9
2007-04-01,25.0
2007-07-01,17.3
2007-10-01,21.7
2008-01-01,-28.5
2008-04-01,-23.0
2008-07-01,-16.0
2008-10-01,-75.1
2009-01-01,-27.0
2009-04-01,-18.5
2009-07-01,-11.4
2009-10-01,0.0
2010-01-01,0.0
2010-04-01,1.3
2010-07-01,0.0
2010-10-01,4.2
2011-01-01,-15.4
2011-04-01,-24.6
2011-07-01,0.0
2011-10-01,-29.2
2012-01-01,0.0
2012-04-01,-0.9
2012-07-01,0.0
2012-10-01,-4.4
2013-01-01,5.3
2013-04-01,5.6
2013-07-01,-8.1
2013-10-01,-5.4
2014-01-01,-0.6
2014-04-01,-5.5
2014-07-01,5.7
2014-10-01,-1.0
2015-01-01,5.6
2015-04-01,5.5
2015-07-01,5.7
2015-10-01,5.3
2016-01-01,-0.1
2016-04-01,5.5
2016-07-01,11.2
2016-10-01,4.8
2017-01-01,-5.5
2017-04-01,0.0
2017-07-01,12.4
2017-10-01,0.0
2018-01-01,0.0
2018-04-01,-23.2
2018-07-01,-23.2
2018-10-01,-23.5
2019-01-01,0.0
2019-04-01,0.0
2019-07-01,5.1
2019-10-01,21.8
2020-01-01,18.4
2020-04-01,16.5
2020-07-01,16.6
2020-10-01,0.0
2021-01-01,-22.0
2021-04-01,-0.4
2021-07-01,0.0
2021-10-01,0.0
2022-01-01,-4.7
2022-04-01,0.0
2022-07-01,-4.6
2022-10-01,-4.4
2023-01-01,-4.3
2023-04-01,-37.4
2023-07-01,-47.2
2023-10-01,-3.6
2024-01-01,-32.5
2024-04-01,-10.5
2024-07-01,-1.5
2024-10-01,11.5
2025-01-01,-2.5
2025-04-01,8.6
2025-07-01,15.5
