Tarih,TP_KFE_TR42
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,4.84
2010-02-01,4.88
2010-03-01,4.85
2010-04-01,4.89
2010-05-01,4.94
2010-06-01,4.92
2010-07-01,4.95
2010-08-01,4.98
2010-09-01,4.93
2010-10-01,4.97
2010-11-01,5.02
2010-12-01,5.07
2011-01-01,5.19
2011-02-01,5.14
2011-03-01,5.19
2011-04-01,5.16
2011-05-01,5.29
2011-06-01,5.21
2011-07-01,5.27
2011-08-01,5.18
2011-09-01,5.17
2011-10-01,5.17
2011-11-01,5.17
2011-12-01,5.11
2012-01-01,5.26
2012-02-01,5.32
2012-03-01,5.3
2012-04-01,5.31
2012-05-01,5.43
2012-06-01,5.47
2012-07-01,5.42
2012-08-01,5.5
2012-09-01,5.49
2012-10-01,5.47
2012-11-01,5.48
2012-12-01,5.5
2013-01-01,5.61
2013-02-01,5.64
2013-03-01,5.65
2013-04-01,5.66
2013-05-01,5.73
2013-06-01,5.81
2013-07-01,5.87
2013-08-01,5.89
2013-09-01,5.88
2013-10-01,5.95
2013-11-01,5.97
2013-12-01,6.1
2014-01-01,6.21
2014-02-01,6.08
2014-03-01,6.07
2014-04-01,6.28
2014-05-01,6.45
2014-06-01,6.43
2014-07-01,6.5
2014-08-01,6.54
2014-09-01,6.58
2014-10-01,6.61
2014-11-01,6.75
2014-12-01,6.76
2015-01-01,6.88
2015-02-01,7.02
2015-03-01,7.12
2015-04-01,7.23
2015-05-01,7.38
2015-06-01,7.49
2015-07-01,7.48
2015-08-01,7.78
2015-09-01,7.62
2015-10-01,7.8
2015-11-01,7.88
2015-12-01,7.98
2016-01-01,8.15
2016-02-01,8.37
2016-03-01,8.52
