Tarih,TP_KM_F05
2000-01-01,1213031.0
2000-02-01,1223619.0
2000-03-01,1344048.0
2000-04-01,1384781.0
2000-05-01,1525583.0
2000-06-01,1689567.0
2000-07-01,1856036.0
2000-08-01,1654944.0
2000-09-01,1877442.0
2000-10-01,1871907.0
2000-11-01,1841130.0
2000-12-01,2077426.0
2001-01-01,1707132.0
2001-02-01,1795571.0
2001-03-01,1901313.0
2001-04-01,2000224.0
2001-05-01,2020860.0
2001-06-01,2283331.0
2001-07-01,2362281.0
2001-08-01,2401464.0
2001-09-01,2711389.0
2001-10-01,2785193.0
2001-11-01,2610892.0
2001-12-01,3540384.0
2002-01-01,2504150.0
2002-02-01,2813085.0
2002-03-01,2998908.0
2002-04-01,2870213.0
2002-05-01,2781111.0
2002-06-01,3432453.0
2002-07-01,3252144.0
2002-08-01,3172638.0
2002-09-01,3937534.0
2002-10-01,3671543.0
2002-11-01,3334605.0
2002-12-01,4756252.0
2003-01-01,3440016.0
2003-02-01,3510161.0
2003-03-01,4007885.0
2003-04-01,3861677.0
2003-05-01,4064605.0
2003-06-01,4722348.0
2003-07-01,4787594.0
2003-08-01,4953853.0
2003-09-01,5638633.0
2003-10-01,5449152.0
2003-11-01,5870412.0
2003-12-01,7195918.0
2004-01-01,5371203.0
2004-02-01,5470871.0
2004-03-01,5897559.0
2004-04-01,5753466.0
2004-05-01,5961056.0
2004-06-01,6348624.0
2004-07-01,6607660.0
2004-08-01,7118788.0
2004-09-01,7047692.0
2004-10-01,7430819.0
2004-11-01,7155917.0
2004-12-01,8254006.0
2005-01-01,6940312.0
2005-02-01,6797182.0
2005-03-01,7350812.0
2005-04-01,8316057.0
2005-05-01,7574465.0
2005-06-01,8728496.0
2005-07-01,8642654.0
2005-08-01,8606660.0
2005-09-01,8912774.0
2005-10-01,9196221.0
2005-11-01,8866671.0
2005-12-01,12082387.0
2006-01-01,8343212.0
2006-02-01,8032030.0
2006-03-01,9183673.0
2006-04-01,9308301.0
2006-05-01,9422112.0
2006-06-01,9255141.0
2006-07-01,9178892.0
2006-08-01,9053585.0
2006-09-01,10073254.0
2006-10-01,9023290.0
2006-11-01,8493193.0
2006-12-01,9609607.0
2007-01-01,7967584.0
2007-02-01,8187100.0
2007-03-01,8384923.0
2007-04-01,8468737.0
2007-05-01,9022962.0
2007-06-01,9645662.0
2007-07-01,9110830.0
2007-08-01,9114018.0
2007-09-01,9865238.0
2007-10-01,9208469.0
2007-11-01,9131398.0
2007-12-01,11697455.0
2008-01-01,10078204.0
2008-02-01,9908074.0
2008-03-01,10941344.0
2008-04-01,10300197.0
2008-05-01,10533714.0
2008-06-01,11212096.0
2008-07-01,10577008.0
2008-08-01,11442749.0
2008-09-01,12891513.0
