Tarih,TP_IYABGS4S_S15_C
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,9.66752
2007-02-01,
2007-03-01,
2007-04-01,15.80341
2007-05-01,
2007-06-01,
2007-07-01,9.88163
2007-08-01,
2007-09-01,
2007-10-01,18.62683
2007-11-01,
2007-12-01,
2008-01-01,19.63683
2008-02-01,
2008-03-01,
2008-04-01,13.35405
2008-05-01,
2008-06-01,
2008-07-01,16.16879
2008-08-01,
2008-09-01,
2008-10-01,20.95949
2008-11-01,
2008-12-01,
2009-01-01,18.9532
2009-02-01,
2009-03-01,
2009-04-01,19.63765
2009-05-01,
2009-06-01,
2009-07-01,7.59622
2009-08-01,
2009-09-01,
2009-10-01,7.23235
2009-11-01,
2009-12-01,
2010-01-01,9.06147
2010-02-01,
2010-03-01,
2010-04-01,9.22852
2010-05-01,
2010-06-01,
2010-07-01,10.71433
2010-08-01,
2010-09-01,
2010-10-01,8.68463
2010-11-01,
2010-12-01,
2011-01-01,4.29977
2011-02-01,
2011-03-01,
2011-04-01,5.9481
2011-05-01,
2011-06-01,
2011-07-01,5.60866
2011-08-01,
2011-09-01,
2011-10-01,8.12796
2011-11-01,
2011-12-01,
2012-01-01,11.12066
2012-02-01,
2012-03-01,
2012-04-01,5.14291
2012-05-01,
2012-06-01,
2012-07-01,11.69607
2012-08-01,
2012-09-01,
2012-10-01,10.39926
2012-11-01,
2012-12-01,
2013-01-01,5.18299
2013-02-01,
2013-03-01,
2013-04-01,4.92489
2013-05-01,
2013-06-01,
2013-07-01,6.32163
2013-08-01,
2013-09-01,
2013-10-01,5.47201
2013-11-01,
2013-12-01,
2014-01-01,3.76749
2014-02-01,
2014-03-01,
2014-04-01,6.15386
2014-05-01,
2014-06-01,
2014-07-01,2.86358
2014-08-01,
2014-09-01,
2014-10-01,9.32522
2014-11-01,
2014-12-01,
2015-01-01,14.38527
2015-02-01,
2015-03-01,
2015-04-01,15.32981
2015-05-01,
2015-06-01,
2015-07-01,8.10541
2015-08-01,
2015-09-01,
2015-10-01,7.12468
2015-11-01,
2015-12-01,
2016-01-01,8.48418
2016-02-01,
2016-03-01,
2016-04-01,5.24743
2016-05-01,
2016-06-01,
2016-07-01,8.4163
2016-08-01,
2016-09-01,
2016-10-01,4.43486
2016-11-01,
2016-12-01,
2017-01-01,6.73697
2017-02-01,
2017-03-01,
2017-04-01,3.24281
2017-05-01,
2017-06-01,
2017-07-01,5.97062
2017-08-01,
2017-09-01,
2017-10-01,6.90553
2017-11-01,
2017-12-01,
2018-01-01,1.82472
2018-02-01,
2018-03-01,
2018-04-01,6.26779
2018-05-01,
2018-06-01,
2018-07-01,5.9229
2018-08-01,
2018-09-01,
2018-10-01,10.30739
2018-11-01,
2018-12-01,
2019-01-01,8.93459
2019-02-01,
2019-03-01,
2019-04-01,7.81781
2019-05-01,
2019-06-01,
2019-07-01,8.96496
2019-08-01,
2019-09-01,
2019-10-01,10.91305
2019-11-01,
2019-12-01,
2020-01-01,8.36968
2020-02-01,
2020-03-01,
2020-04-01,13.39377
2020-05-01,
2020-06-01,
2020-07-01,8.17696
2020-08-01,
2020-09-01,
2020-10-01,5.59786
2020-11-01,
2020-12-01,
2021-01-01,5.92324
2021-02-01,
2021-03-01,
2021-04-01,6.32487
2021-05-01,
2021-06-01,
2021-07-01,6.59075
2021-08-01,
2021-09-01,
2021-10-01,6.0632
2021-11-01,
2021-12-01,
2022-01-01,9.47529
2022-02-01,
2022-03-01,
2022-04-01,4.86799
2022-05-01,
2022-06-01,
2022-07-01,10.79282
2022-08-01,
2022-09-01,
2022-10-01,9.85283
2022-11-01,
2022-12-01,
2023-01-01,13.86784
2023-02-01,
2023-03-01,
2023-04-01,13.2126
2023-05-01,
2023-06-01,
2023-07-01,14.87591
2023-08-01,
2023-09-01,
2023-10-01,9.45295
2023-11-01,
2023-12-01,
2024-01-01,8.62055
2024-02-01,
2024-03-01,
2024-04-01,13.81535
2024-05-01,
2024-06-01,
2024-07-01,14.39001
2024-08-01,
2024-09-01,
2024-10-01,13.01165
2024-11-01,
2024-12-01,
2025-01-01,16.11918
2025-02-01,
2025-03-01,
2025-04-01,10.12954
2025-05-01,
2025-06-01,
2025-07-01,9.70907
