Tarih,TP_IYABGS4S_S09_A
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,16.41374
2007-02-01,
2007-03-01,
2007-04-01,10.43053
2007-05-01,
2007-06-01,
2007-07-01,8.91419
2007-08-01,
2007-09-01,
2007-10-01,8.16
2007-11-01,
2007-12-01,
2008-01-01,10.03439
2008-02-01,
2008-03-01,
2008-04-01,8.40311
2008-05-01,
2008-06-01,
2008-07-01,11.64563
2008-08-01,
2008-09-01,
2008-10-01,28.58074
2008-11-01,
2008-12-01,
2009-01-01,33.79242
2009-02-01,
2009-03-01,
2009-04-01,27.8261
2009-05-01,
2009-06-01,
2009-07-01,37.46835
2009-08-01,
2009-09-01,
2009-10-01,23.04717
2009-11-01,
2009-12-01,
2010-01-01,23.84664
2010-02-01,
2010-03-01,
2010-04-01,20.30404
2010-05-01,
2010-06-01,
2010-07-01,16.06142
2010-08-01,
2010-09-01,
2010-10-01,16.19996
2010-11-01,
2010-12-01,
2011-01-01,7.66424
2011-02-01,
2011-03-01,
2011-04-01,9.64883
2011-05-01,
2011-06-01,
2011-07-01,17.84883
2011-08-01,
2011-09-01,
2011-10-01,16.68026
2011-11-01,
2011-12-01,
2012-01-01,6.15956
2012-02-01,
2012-03-01,
2012-04-01,7.58791
2012-05-01,
2012-06-01,
2012-07-01,8.3163
2012-08-01,
2012-09-01,
2012-10-01,12.35428
2012-11-01,
2012-12-01,
2013-01-01,9.12014
2013-02-01,
2013-03-01,
2013-04-01,15.24619
2013-05-01,
2013-06-01,
2013-07-01,8.36796
2013-08-01,
2013-09-01,
2013-10-01,11.16888
2013-11-01,
2013-12-01,
2014-01-01,9.97205
2014-02-01,
2014-03-01,
2014-04-01,7.13672
2014-05-01,
2014-06-01,
2014-07-01,10.03086
2014-08-01,
2014-09-01,
2014-10-01,9.12583
2014-11-01,
2014-12-01,
2015-01-01,8.78283
2015-02-01,
2015-03-01,
2015-04-01,7.31545
2015-05-01,
2015-06-01,
2015-07-01,4.66894
2015-08-01,
2015-09-01,
2015-10-01,5.96576
2015-11-01,
2015-12-01,
2016-01-01,5.80046
2016-02-01,
2016-03-01,
2016-04-01,5.88796
2016-05-01,
2016-06-01,
2016-07-01,3.641
2016-08-01,
2016-09-01,
2016-10-01,5.88107
2016-11-01,
2016-12-01,
2017-01-01,12.23999
2017-02-01,
2017-03-01,
2017-04-01,5.24174
2017-05-01,
2017-06-01,
2017-07-01,7.51284
2017-08-01,
2017-09-01,
2017-10-01,2.64713
2017-11-01,
2017-12-01,
2018-01-01,4.72014
2018-02-01,
2018-03-01,
2018-04-01,3.61999
2018-05-01,
2018-06-01,
2018-07-01,6.87316
2018-08-01,
2018-09-01,
2018-10-01,10.48995
2018-11-01,
2018-12-01,
2019-01-01,13.08567
2019-02-01,
2019-03-01,
2019-04-01,6.81321
2019-05-01,
2019-06-01,
2019-07-01,8.27639
2019-08-01,
2019-09-01,
2019-10-01,7.29998
2019-11-01,
2019-12-01,
2020-01-01,8.28231
2020-02-01,
2020-03-01,
2020-04-01,26.90397
2020-05-01,
2020-06-01,
2020-07-01,7.50207
2020-08-01,
2020-09-01,
2020-10-01,5.66818
2020-11-01,
2020-12-01,
2021-01-01,14.09592
2021-02-01,
2021-03-01,
2021-04-01,14.75227
2021-05-01,
2021-06-01,
2021-07-01,6.54944
2021-08-01,
2021-09-01,
2021-10-01,6.37049
2021-11-01,
2021-12-01,
2022-01-01,7.79451
2022-02-01,
2022-03-01,
2022-04-01,5.35982
2022-05-01,
2022-06-01,
2022-07-01,7.9022
2022-08-01,
2022-09-01,
2022-10-01,6.89606
2022-11-01,
2022-12-01,
2023-01-01,14.7005
2023-02-01,
2023-03-01,
2023-04-01,8.47988
2023-05-01,
2023-06-01,
2023-07-01,5.92911
2023-08-01,
2023-09-01,
2023-10-01,5.44801
2023-11-01,
2023-12-01,
2024-01-01,7.28309
2024-02-01,
2024-03-01,
2024-04-01,6.33616
2024-05-01,
2024-06-01,
2024-07-01,7.69725
2024-08-01,
2024-09-01,
2024-10-01,6.9607
2024-11-01,
2024-12-01,
2025-01-01,8.45716
2025-02-01,
2025-03-01,
2025-04-01,8.6116
2025-05-01,
2025-06-01,
2025-07-01,7.17278
