Tarih,TP_IYABGS4S_S08_E
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,9.45467
2007-02-01,
2007-03-01,
2007-04-01,5.29294
2007-05-01,
2007-06-01,
2007-07-01,8.94945
2007-08-01,
2007-09-01,
2007-10-01,6.548
2007-11-01,
2007-12-01,
2008-01-01,7.22299
2008-02-01,
2008-03-01,
2008-04-01,5.58894
2008-05-01,
2008-06-01,
2008-07-01,7.95881
2008-08-01,
2008-09-01,
2008-10-01,11.20278
2008-11-01,
2008-12-01,
2009-01-01,9.94652
2009-02-01,
2009-03-01,
2009-04-01,8.22245
2009-05-01,
2009-06-01,
2009-07-01,7.09479
2009-08-01,
2009-09-01,
2009-10-01,7.30767
2009-11-01,
2009-12-01,
2010-01-01,10.45534
2010-02-01,
2010-03-01,
2010-04-01,8.8225
2010-05-01,
2010-06-01,
2010-07-01,7.8062
2010-08-01,
2010-09-01,
2010-10-01,8.91998
2010-11-01,
2010-12-01,
2011-01-01,8.55126
2011-02-01,
2011-03-01,
2011-04-01,7.6781
2011-05-01,
2011-06-01,
2011-07-01,7.47438
2011-08-01,
2011-09-01,
2011-10-01,7.05575
2011-11-01,
2011-12-01,
2012-01-01,7.78914
2012-02-01,
2012-03-01,
2012-04-01,6.53253
2012-05-01,
2012-06-01,
2012-07-01,6.61076
2012-08-01,
2012-09-01,
2012-10-01,6.93233
2012-11-01,
2012-12-01,
2013-01-01,7.14922
2013-02-01,
2013-03-01,
2013-04-01,7.70402
2013-05-01,
2013-06-01,
2013-07-01,6.61247
2013-08-01,
2013-09-01,
2013-10-01,6.66212
2013-11-01,
2013-12-01,
2014-01-01,7.15565
2014-02-01,
2014-03-01,
2014-04-01,7.29374
2014-05-01,
2014-06-01,
2014-07-01,7.14582
2014-08-01,
2014-09-01,
2014-10-01,7.59959
2014-11-01,
2014-12-01,
2015-01-01,6.74529
2015-02-01,
2015-03-01,
2015-04-01,5.79242
2015-05-01,
2015-06-01,
2015-07-01,5.5809
2015-08-01,
2015-09-01,
2015-10-01,5.56046
2015-11-01,
2015-12-01,
2016-01-01,4.96044
2016-02-01,
2016-03-01,
2016-04-01,5.35246
2016-05-01,
2016-06-01,
2016-07-01,6.97083
2016-08-01,
2016-09-01,
2016-10-01,5.43149
2016-11-01,
2016-12-01,
2017-01-01,5.91297
2017-02-01,
2017-03-01,
2017-04-01,5.30259
2017-05-01,
2017-06-01,
2017-07-01,6.01885
2017-08-01,
2017-09-01,
2017-10-01,5.60801
2017-11-01,
2017-12-01,
2018-01-01,6.04669
2018-02-01,
2018-03-01,
2018-04-01,5.38644
2018-05-01,
2018-06-01,
2018-07-01,5.53445
2018-08-01,
2018-09-01,
2018-10-01,7.47631
2018-11-01,
2018-12-01,
2019-01-01,6.99746
2019-02-01,
2019-03-01,
2019-04-01,7.5399
2019-05-01,
2019-06-01,
2019-07-01,6.66867
2019-08-01,
2019-09-01,
2019-10-01,7.09188
2019-11-01,
2019-12-01,
2020-01-01,6.72387
2020-02-01,
2020-03-01,
2020-04-01,8.10919
2020-05-01,
2020-06-01,
2020-07-01,8.19874
2020-08-01,
2020-09-01,
2020-10-01,8.54728
2020-11-01,
2020-12-01,
2021-01-01,6.54689
2021-02-01,
2021-03-01,
2021-04-01,8.99101
2021-05-01,
2021-06-01,
2021-07-01,6.71333
2021-08-01,
2021-09-01,
2021-10-01,8.31032
2021-11-01,
2021-12-01,
2022-01-01,7.20619
2022-02-01,
2022-03-01,
2022-04-01,8.30618
2022-05-01,
2022-06-01,
2022-07-01,8.19321
2022-08-01,
2022-09-01,
2022-10-01,8.34435
2022-11-01,
2022-12-01,
2023-01-01,8.79405
2023-02-01,
2023-03-01,
2023-04-01,8.52191
2023-05-01,
2023-06-01,
2023-07-01,8.2723
2023-08-01,
2023-09-01,
2023-10-01,8.45244
2023-11-01,
2023-12-01,
2024-01-01,7.96349
2024-02-01,
2024-03-01,
2024-04-01,8.8824
2024-05-01,
2024-06-01,
2024-07-01,8.00738
2024-08-01,
2024-09-01,
2024-10-01,8.47174
2024-11-01,
2024-12-01,
2025-01-01,7.84268
2025-02-01,
2025-03-01,
2025-04-01,7.91927
2025-05-01,
2025-06-01,
2025-07-01,7.70094
