Tarih,TP_IN_RH2_KAMU_TOP_A
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,100.0
2010-02-01,110.0
2010-03-01,138.0
2010-04-01,139.0
2010-05-01,105.0
2010-06-01,148.0
2010-07-01,86.0
2010-08-01,112.0
2010-09-01,106.0
2010-10-01,135.0
2010-11-01,121.0
2010-12-01,307.0
2011-01-01,77.0
2011-02-01,91.0
2011-03-01,125.0
2011-04-01,126.0
2011-05-01,145.0
2011-06-01,157.0
2011-07-01,135.0
2011-08-01,152.0
2011-09-01,132.0
2011-10-01,125.0
2011-11-01,101.0
2011-12-01,179.0
2012-01-01,63.0
2012-02-01,194.0
2012-03-01,159.0
2012-04-01,175.0
2012-05-01,201.0
2012-06-01,167.0
2012-07-01,185.0
2012-08-01,166.0
2012-09-01,162.0
2012-10-01,174.0
2012-11-01,174.0
2012-12-01,212.0
2013-01-01,147.0
2013-02-01,147.0
2013-03-01,192.0
2013-04-01,242.0
2013-05-01,247.0
2013-06-01,222.0
2013-07-01,260.0
2013-08-01,180.0
2013-09-01,224.0
2013-10-01,204.0
2013-11-01,255.0
2013-12-01,301.0
2014-01-01,227.0
2014-02-01,290.0
2014-03-01,525.0
2014-04-01,207.0
2014-05-01,261.0
2014-06-01,185.0
2014-07-01,168.0
2014-08-01,155.0
2014-09-01,171.0
2014-10-01,130.0
2014-11-01,168.0
2014-12-01,246.0
2015-01-01,148.0
2015-02-01,151.0
2015-03-01,191.0
2015-04-01,234.0
2015-05-01,185.0
2015-06-01,200.0
2015-07-01,199.0
2015-08-01,192.0
2015-09-01,160.0
2015-10-01,177.0
2015-11-01,189.0
2015-12-01,226.0
2016-01-01,178.0
2016-02-01,226.0
