Tarih,TP_ODEAYRSUNUM6_Q81
2000-01-01,75.0
2000-02-01,113.0
2000-03-01,68.0
2000-04-01,70.0
2000-05-01,78.0
2000-06-01,64.0
2000-07-01,107.0
2000-08-01,146.0
2000-09-01,101.0
2000-10-01,145.0
2000-11-01,210.0
2000-12-01,123.0
2001-01-01,105.0
2001-02-01,194.0
2001-03-01,53.0
2001-04-01,71.0
2001-05-01,95.0
2001-06-01,120.0
2001-07-01,92.0
2001-08-01,109.0
2001-09-01,68.0
2001-10-01,99.0
2001-11-01,108.0
2001-12-01,139.0
2002-01-01,92.0
2002-02-01,136.0
2002-03-01,67.0
2002-04-01,75.0
2002-05-01,109.0
2002-06-01,130.0
2002-07-01,160.0
2002-08-01,115.0
2002-09-01,65.0
2002-10-01,172.0
2002-11-01,134.0
2002-12-01,154.0
2003-01-01,130.0
2003-02-01,106.0
2003-03-01,76.0
2003-04-01,117.0
2003-05-01,118.0
2003-06-01,120.0
2003-07-01,177.0
2003-08-01,114.0
2003-09-01,110.0
2003-10-01,103.0
2003-11-01,77.0
2003-12-01,161.0
2004-01-01,190.0
2004-02-01,136.0
2004-03-01,147.0
2004-04-01,98.0
2004-05-01,122.0
2004-06-01,115.0
2004-07-01,184.0
2004-08-01,140.0
2004-09-01,147.0
2004-10-01,116.0
2004-11-01,130.0
2004-12-01,185.0
2005-01-01,322.0
2005-02-01,371.0
2005-03-01,121.0
2005-04-01,97.0
2005-05-01,148.0
2005-06-01,191.0
2005-07-01,273.0
2005-08-01,220.0
2005-09-01,194.0
2005-10-01,189.0
2005-11-01,129.0
2005-12-01,147.0
2006-01-01,244.0
2006-02-01,205.0
2006-03-01,103.0
2006-04-01,151.0
2006-05-01,150.0
2006-06-01,122.0
2006-07-01,241.0
2006-08-01,168.0
2006-09-01,99.0
2006-10-01,168.0
2006-11-01,201.0
2006-12-01,86.0
2007-01-01,302.0
2007-02-01,233.0
2007-03-01,188.0
2007-04-01,237.0
2007-05-01,193.0
2007-06-01,145.0
2007-07-01,296.0
2007-08-01,248.0
2007-09-01,155.0
2007-10-01,363.0
2007-11-01,336.0
2007-12-01,237.0
2008-01-01,557.0
2008-02-01,273.0
2008-03-01,212.0
2008-04-01,274.0
2008-05-01,226.0
2008-06-01,193.0
2008-07-01,332.0
2008-08-01,161.0
2008-09-01,257.0
2008-10-01,346.0
2008-11-01,251.0
2008-12-01,176.0
2009-01-01,192.0
2009-02-01,146.0
2009-03-01,187.0
2009-04-01,151.0
2009-05-01,150.0
2009-06-01,144.0
2009-07-01,165.0
2009-08-01,154.0
2009-09-01,147.0
2009-10-01,131.0
2009-11-01,143.0
2009-12-01,111.0
2010-01-01,91.0
2010-02-01,89.0
2010-03-01,96.0
2010-04-01,86.0
2010-05-01,82.0
2010-06-01,73.0
2010-07-01,79.0
2010-08-01,80.0
2010-09-01,79.0
2010-10-01,81.0
2010-11-01,76.0
2010-12-01,77.0
2011-01-01,78.0
2011-02-01,72.0
2011-03-01,83.0
2011-04-01,76.0
2011-05-01,79.0
2011-06-01,77.0
2011-07-01,79.0
2011-08-01,82.0
2011-09-01,77.0
2011-10-01,74.0
2011-11-01,68.0
2011-12-01,67.0
2012-01-01,66.0
2012-02-01,66.0
2012-03-01,73.0
2012-04-01,70.0
2012-05-01,70.0
2012-06-01,67.0
2012-07-01,77.0
2012-08-01,89.0
2012-09-01,86.0
2012-10-01,73.0
2012-11-01,66.0
2012-12-01,73.0
2013-01-01,77.0
2013-02-01,76.0
2013-03-01,90.0
2013-04-01,78.0
2013-05-01,81.0
2013-06-01,75.0
2013-07-01,74.0
2013-08-01,75.0
2013-09-01,72.0
2013-10-01,80.0
2013-11-01,81.0
2013-12-01,82.0
2014-01-01,81.0
2014-02-01,76.0
2014-03-01,80.0
2014-04-01,73.0
2014-05-01,75.0
2014-06-01,76.0
2014-07-01,84.0
2014-08-01,71.0
2014-09-01,63.0
2014-10-01,61.0
2014-11-01,51.0
2014-12-01,60.0
2015-01-01,66.0
2015-02-01,47.0
2015-03-01,53.0
2015-04-01,51.0
2015-05-01,55.0
2015-06-01,47.0
2015-07-01,46.0
2015-08-01,47.0
2015-09-01,50.0
2015-10-01,57.0
2015-11-01,51.0
2015-12-01,58.0
2016-01-01,53.0
2016-02-01,52.0
2016-03-01,62.0
2016-04-01,59.0
2016-05-01,345.0
2016-06-01,65.0
2016-07-01,64.0
2016-08-01,57.0
2016-09-01,71.0
2016-10-01,67.0
2016-11-01,66.0
2016-12-01,69.0
2017-01-01,61.0
2017-02-01,54.0
2017-03-01,64.0
2017-04-01,92.0
2017-05-01,60.0
2017-06-01,71.0
2017-07-01,71.0
2017-08-01,69.0
2017-09-01,72.0
2017-10-01,81.0
2017-11-01,76.0
2017-12-01,84.0
2018-01-01,78.0
2018-02-01,70.0
2018-03-01,80.0
2018-04-01,86.0
2018-05-01,80.0
2018-06-01,79.0
2018-07-01,69.0
2018-08-01,62.0
2018-09-01,57.0
2018-10-01,47.0
2018-11-01,38.0
2018-12-01,48.0
2019-01-01,45.0
2019-02-01,33.0
2019-03-01,49.0
2019-04-01,36.0
2019-05-01,31.0
2019-06-01,34.0
2019-07-01,50.0
2019-08-01,33.0
2019-09-01,39.0
2019-10-01,97.0
2019-11-01,28.0
2019-12-01,32.0
2020-01-01,44.0
2020-02-01,33.0
2020-03-01,29.0
2020-04-01,47.0
2020-05-01,33.0
2020-06-01,26.0
2020-07-01,30.0
2020-08-01,68.0
2020-09-01,31.0
2020-10-01,14.0
2020-11-01,15.0
2020-12-01,14.0
2021-01-01,29.0
2021-02-01,13.0
2021-03-01,13.0
2021-04-01,15.0
2021-05-01,13.0
2021-06-01,13.0
2021-07-01,15.0
2021-08-01,13.0
2021-09-01,11.0
2021-10-01,12.0
2021-11-01,11.0
2021-12-01,11.0
2022-01-01,12.0
2022-02-01,10.0
2022-03-01,11.0
2022-04-01,10.0
2022-05-01,10.0
2022-06-01,10.0
2022-07-01,11.0
2022-08-01,9.0
2022-09-01,10.0
2022-10-01,11.0
2022-11-01,24.0
2022-12-01,14.0
2023-01-01,13.0
2023-02-01,9.0
2023-03-01,16.0
2023-04-01,11.0
2023-05-01,40.0
2023-06-01,20.0
2023-07-01,8.0
2023-08-01,6.0
2023-09-01,5.0
2023-10-01,9.0
2023-11-01,7.0
2023-12-01,7.0
2024-01-01,32.0
2024-02-01,27.0
2024-03-01,33.0
2024-04-01,37.0
2024-05-01,32.0
2024-06-01,32.0
2024-07-01,45.0
2024-08-01,43.0
2024-09-01,47.0
2024-10-01,64.0
2024-11-01,65.0
2024-12-01,76.0
2025-01-01,77.0
2025-02-01,90.0
2025-03-01,104.0
2025-04-01,200.0
2025-05-01,29.0
2025-06-01,31.0
2025-07-01,41.0
2025-08-01,76.0
