Tarih,TP_ODEAYRSUNUM6_Q104
2000-01-01,497.0
2000-02-01,45.0
2000-03-01,-15.0
2000-04-01,13.0
2000-05-01,236.0
2000-06-01,-117.0
2000-07-01,5.0
2000-08-01,48.0
2000-09-01,9.0
2000-10-01,30.0
2000-11-01,22.0
2000-12-01,97.0
2001-01-01,220.0
2001-02-01,7.0
2001-03-01,73.0
2001-04-01,-8.0
2001-05-01,26.0
2001-06-01,15.0
2001-07-01,33.0
2001-08-01,-12.0
2001-09-01,24.0
2001-10-01,4.0
2001-11-01,19.0
2001-12-01,96.0
2002-01-01,20.0
2002-02-01,2.0
2002-03-01,-30.0
2002-04-01,7.0
2002-05-01,16.0
2002-06-01,4.0
2002-07-01,39.0
2002-08-01,-70.0
2002-09-01,40.0
2002-10-01,5.0
2002-11-01,25.0
2002-12-01,85.0
2003-01-01,38.0
2003-02-01,18.0
2003-03-01,30.0
2003-04-01,51.0
2003-05-01,28.0
2003-06-01,41.0
2003-07-01,21.0
2003-08-01,25.0
2003-09-01,60.0
2003-10-01,74.0
2003-11-01,35.0
2003-12-01,59.0
2004-01-01,51.0
2004-02-01,44.0
2004-03-01,58.0
2004-04-01,95.0
2004-05-01,49.0
2004-06-01,44.0
2004-07-01,56.0
2004-08-01,144.0
2004-09-01,53.0
2004-10-01,49.0
2004-11-01,71.0
2004-12-01,66.0
2005-01-01,52.0
2005-02-01,40.0
2005-03-01,38.0
2005-04-01,89.0
2005-05-01,60.0
2005-06-01,146.0
2005-07-01,53.0
2005-08-01,206.0
2005-09-01,61.0
2005-10-01,105.0
2005-11-01,105.0
2005-12-01,109.0
2006-01-01,-275.0
2006-02-01,62.0
2006-03-01,33.0
2006-04-01,46.0
2006-05-01,85.0
2006-06-01,54.0
2006-07-01,117.0
2006-08-01,149.0
2006-09-01,83.0
2006-10-01,129.0
2006-11-01,349.0
2006-12-01,92.0
2007-01-01,1050.0
2007-02-01,48.0
2007-03-01,133.0
2007-04-01,104.0
2007-05-01,147.0
2007-06-01,85.0
2007-07-01,201.0
2007-08-01,65.0
2007-09-01,-43.0
2007-10-01,57.0
2007-11-01,145.0
2007-12-01,114.0
2008-01-01,146.0
2008-02-01,42.0
2008-03-01,805.0
2008-04-01,345.0
2008-05-01,322.0
2008-06-01,76.0
2008-07-01,93.0
2008-08-01,357.0
2008-09-01,72.0
2008-10-01,54.0
2008-11-01,30.0
2008-12-01,207.0
2009-01-01,478.0
2009-02-01,-165.0
2009-03-01,43.0
2009-04-01,112.0
2009-05-01,53.0
2009-06-01,287.0
2009-07-01,91.0
2009-08-01,-107.0
2009-09-01,60.0
2009-10-01,121.0
2009-11-01,126.0
2009-12-01,454.0
2010-01-01,38.0
2010-02-01,108.0
2010-03-01,303.0
2010-04-01,85.0
2010-05-01,332.0
2010-06-01,83.0
2010-07-01,94.0
2010-08-01,91.0
2010-09-01,102.0
2010-10-01,56.0
2010-11-01,76.0
2010-12-01,96.0
2011-01-01,672.0
2011-02-01,125.0
2011-03-01,145.0
2011-04-01,155.0
2011-05-01,-31.0
2011-06-01,146.0
2011-07-01,121.0
2011-08-01,90.0
2011-09-01,112.0
2011-10-01,118.0
2011-11-01,419.0
2011-12-01,277.0
2012-01-01,65.0
2012-02-01,206.0
2012-03-01,2016.0
2012-04-01,242.0
2012-05-01,89.0
2012-06-01,-118.0
2012-07-01,157.0
2012-08-01,93.0
2012-09-01,383.0
2012-10-01,220.0
2012-11-01,432.0
2012-12-01,290.0
2013-01-01,199.0
2013-02-01,316.0
2013-03-01,173.0
2013-04-01,237.0
2013-05-01,312.0
2013-06-01,188.0
2013-07-01,194.0
2013-08-01,107.0
2013-09-01,147.0
2013-10-01,130.0
2013-11-01,651.0
2013-12-01,469.0
2014-01-01,294.0
2014-02-01,289.0
2014-03-01,460.0
2014-04-01,243.0
2014-05-01,590.0
2014-06-01,248.0
2014-07-01,259.0
2014-08-01,1666.0
2014-09-01,125.0
2014-10-01,274.0
2014-11-01,178.0
2014-12-01,337.0
2015-01-01,172.0
2015-02-01,244.0
2015-03-01,433.0
2015-04-01,329.0
2015-05-01,156.0
2015-06-01,439.0
2015-07-01,957.0
2015-08-01,266.0
2015-09-01,559.0
2015-10-01,430.0
2015-11-01,555.0
2015-12-01,387.0
2016-01-01,314.0
2016-02-01,285.0
2016-03-01,209.0
2016-04-01,242.0
2016-05-01,215.0
2016-06-01,325.0
2016-07-01,226.0
2016-08-01,202.0
2016-09-01,191.0
2016-10-01,219.0
2016-11-01,185.0
2016-12-01,404.0
2017-01-01,231.0
2017-02-01,208.0
2017-03-01,377.0
2017-04-01,351.0
2017-05-01,217.0
2017-06-01,236.0
2017-07-01,-191.0
2017-08-01,214.0
2017-09-01,184.0
2017-10-01,157.0
2017-11-01,319.0
2017-12-01,321.0
2018-01-01,295.0
2018-02-01,749.0
2018-03-01,55.0
2018-04-01,233.0
2018-05-01,392.0
2018-06-01,254.0
