Tarih,TP_IYABGS2S_S06_X
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,492.0
2007-02-01,519.0
2007-03-01,515.0
2007-04-01,605.0
2007-05-01,593.0
2007-06-01,609.0
2007-07-01,580.0
2007-08-01,582.0
2007-09-01,625.0
2007-10-01,630.0
2007-11-01,656.0
2007-12-01,582.0
2008-01-01,582.0
2008-02-01,576.0
2008-03-01,624.0
2008-04-01,556.0
2008-05-01,587.0
2008-06-01,576.0
2008-07-01,560.0
2008-08-01,559.0
2008-09-01,589.0
2008-10-01,597.0
2008-11-01,585.0
2008-12-01,570.0
2009-01-01,850.0
2009-02-01,867.0
2009-03-01,908.0
2009-04-01,920.0
2009-05-01,918.0
2009-06-01,940.0
2009-07-01,910.0
2009-08-01,924.0
2009-09-01,945.0
2009-10-01,916.0
2009-11-01,963.0
2009-12-01,954.0
2010-01-01,917.0
2010-02-01,935.0
2010-03-01,922.0
2010-04-01,959.0
2010-05-01,946.0
2010-06-01,980.0
2010-07-01,1205.0
2010-08-01,1174.0
2010-09-01,1174.0
2010-10-01,1179.0
2010-11-01,1082.0
2010-12-01,1218.0
2011-01-01,1133.0
2011-02-01,1165.0
2011-03-01,1196.0
2011-04-01,1133.0
2011-05-01,1069.0
2011-06-01,1122.0
2011-07-01,1299.0
2011-08-01,1338.0
2011-09-01,1400.0
2011-10-01,1331.0
2011-11-01,1360.0
2011-12-01,1327.0
2012-01-01,1314.0
2012-02-01,1368.0
2012-03-01,1393.0
2012-04-01,1289.0
2012-05-01,1342.0
2012-06-01,1313.0
2012-07-01,1261.0
2012-08-01,1280.0
2012-09-01,1257.0
2012-10-01,1257.0
2012-11-01,1265.0
2012-12-01,1226.0
2013-01-01,1163.0
2013-02-01,1227.0
2013-03-01,1222.0
2013-04-01,1190.0
2013-05-01,1184.0
2013-06-01,1197.0
2013-07-01,1317.0
2013-08-01,1331.0
2013-09-01,1328.0
2013-10-01,1331.0
2013-11-01,1331.0
2013-12-01,1365.0
2014-01-01,1311.0
2014-02-01,1323.0
2014-03-01,1349.0
2014-04-01,1321.0
2014-05-01,1348.0
2014-06-01,1323.0
2014-07-01,1342.0
2014-08-01,1325.0
2014-09-01,1324.0
2014-10-01,1298.0
2014-11-01,1284.0
2014-12-01,1290.0
