Tarih,TP_IYABGS2S_S19_X
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,472.0
2007-02-01,494.0
2007-03-01,487.0
2007-04-01,578.0
2007-05-01,566.0
2007-06-01,591.0
2007-07-01,551.0
2007-08-01,557.0
2007-09-01,592.0
2007-10-01,599.0
2007-11-01,624.0
2007-12-01,553.0
2008-01-01,547.0
2008-02-01,543.0
2008-03-01,594.0
2008-04-01,532.0
2008-05-01,551.0
2008-06-01,539.0
2008-07-01,528.0
2008-08-01,526.0
2008-09-01,557.0
2008-10-01,561.0
2008-11-01,562.0
2008-12-01,554.0
2009-01-01,825.0
2009-02-01,846.0
2009-03-01,869.0
2009-04-01,883.0
2009-05-01,895.0
2009-06-01,905.0
2009-07-01,878.0
2009-08-01,913.0
2009-09-01,927.0
2009-10-01,891.0
2009-11-01,944.0
2009-12-01,923.0
2010-01-01,888.0
2010-02-01,905.0
2010-03-01,896.0
2010-04-01,930.0
2010-05-01,918.0
2010-06-01,958.0
2010-07-01,1165.0
2010-08-01,1136.0
2010-09-01,1146.0
2010-10-01,1128.0
2010-11-01,1049.0
2010-12-01,1172.0
2011-01-01,1093.0
2011-02-01,1149.0
2011-03-01,1169.0
2011-04-01,1094.0
2011-05-01,1060.0
2011-06-01,1108.0
2011-07-01,1259.0
2011-08-01,1314.0
2011-09-01,1370.0
2011-10-01,1284.0
2011-11-01,1316.0
2011-12-01,1299.0
2012-01-01,1269.0
2012-02-01,1335.0
2012-03-01,1357.0
2012-04-01,1238.0
2012-05-01,1307.0
2012-06-01,1295.0
2012-07-01,1220.0
2012-08-01,1251.0
2012-09-01,1231.0
2012-10-01,1230.0
2012-11-01,1241.0
2012-12-01,1201.0
2013-01-01,1134.0
2013-02-01,1215.0
2013-03-01,1206.0
2013-04-01,1160.0
2013-05-01,1162.0
2013-06-01,1189.0
2013-07-01,1288.0
2013-08-01,1319.0
2013-09-01,1317.0
2013-10-01,1296.0
2013-11-01,1318.0
2013-12-01,1340.0
2014-01-01,1288.0
2014-02-01,1299.0
2014-03-01,1329.0
2014-04-01,1292.0
2014-05-01,1325.0
2014-06-01,1308.0
2014-07-01,1314.0
2014-08-01,1309.0
2014-09-01,1307.0
2014-10-01,1278.0
2014-11-01,1269.0
2014-12-01,1283.0
