Tarih,TP_PBD_G15
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,-12466976.0
2007-02-01,-14883454.0
2007-03-01,-13705192.0
2007-04-01,-15852907.0
2007-05-01,-14862048.0
2007-06-01,-17412379.0
2007-07-01,-18982120.0
2007-08-01,-15388362.0
2007-09-01,-16381634.0
2007-10-01,-16432604.0
2007-11-01,-16216309.0
2007-12-01,-15174092.0
2008-01-01,-15510577.0
2008-02-01,-15955760.0
2008-03-01,-16598575.0
2008-04-01,-19719653.0
2008-05-01,-18933792.0
2008-06-01,-24344392.0
2008-07-01,-23666054.0
2008-08-01,-15877763.0
2008-09-01,-19567120.0
2008-10-01,-16374520.0
2008-11-01,-15851632.0
2008-12-01,-16047711.0
2009-01-01,-16799522.0
2009-02-01,-20117943.0
2009-03-01,-17914938.0
2009-04-01,-17367160.0
2009-05-01,-17554448.0
2009-06-01,-17722719.0
2009-07-01,-21774550.0
2009-08-01,-17202998.0
2009-09-01,-21469938.0
2009-10-01,-18327965.0
2009-11-01,-20675250.0
2009-12-01,-18405519.0
2010-01-01,-18819012.0
2010-02-01,-23321757.0
2010-03-01,-20925688.0
2010-04-01,-19586264.0
2010-05-01,-20425553.0
2010-06-01,-25628853.0
2010-07-01,-24824494.0
2010-08-01,-19770121.0
2010-09-01,-20515937.0
2010-10-01,-26939324.0
2010-11-01,-22056341.0
2010-12-01,-23812953.0
2011-01-01,-24337775.0
2011-02-01,-29706537.0
2011-03-01,-25903285.0
2011-04-01,-24374628.0
2011-05-01,-25059005.0
2011-06-01,-27738450.0
2011-07-01,-27105072.0
2011-08-01,-31167254.0
2011-09-01,-27306007.0
2011-10-01,-26939811.0
2011-11-01,-33297834.0
2011-12-01,-27497151.0
2012-01-01,-28158889.0
2012-02-01,-32524787.0
2012-03-01,-28117627.0
2012-04-01,-31483487.0
2012-05-01,-28982859.0
2012-06-01,-28052042.0
2012-07-01,-38652973.0
2012-08-01,-28262945.0
2012-09-01,-29620470.0
2012-10-01,-34461599.0
2012-11-01,-31007510.0
2012-12-01,-34228578.0
2013-01-01,-31850001.0
2013-02-01,-39036641.0
2013-03-01,-33803387.0
2013-04-01,-31948471.0
2013-05-01,-38144404.0
2013-06-01,-37092896.0
2013-07-01,-45597630.0
2013-08-01,-35606081.0
