Tarih,TP_UNDNAKLIYE_YIH_AZ_ADET
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,39.0
2012-02-01,17.0
2012-03-01,38.0
2012-04-01,41.0
2012-05-01,64.0
2012-06-01,52.0
2012-07-01,49.0
2012-08-01,35.0
2012-09-01,47.0
2012-10-01,45.0
2012-11-01,55.0
2012-12-01,66.0
2013-01-01,44.0
2013-02-01,62.0
2013-03-01,78.0
2013-04-01,103.0
2013-05-01,119.0
2013-06-01,134.0
2013-07-01,149.0
2013-08-01,153.0
2013-09-01,179.0
2013-10-01,172.0
2013-11-01,181.0
2013-12-01,199.0
2014-01-01,163.0
2014-02-01,195.0
2014-03-01,267.0
2014-04-01,318.0
2014-05-01,322.0
2014-06-01,306.0
2014-07-01,346.0
2014-08-01,352.0
2014-09-01,425.0
2014-10-01,394.0
2014-11-01,422.0
2014-12-01,522.0
2015-01-01,396.0
2015-02-01,411.0
2015-03-01,378.0
2015-04-01,491.0
2015-05-01,559.0
2015-06-01,339.0
2015-07-01,428.0
2015-08-01,494.0
2015-09-01,441.0
2015-10-01,479.0
2015-11-01,388.0
2015-12-01,378.0
2016-01-01,121.0
2016-02-01,291.0
2016-03-01,393.0
2016-04-01,517.0
2016-05-01,505.0
2016-06-01,470.0
2016-07-01,387.0
2016-08-01,317.0
2016-09-01,425.0
