Tarih,TP_TODEAPARA_A131
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,2265.0
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,1884.0
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,1597.0
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,1427.0
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,1153.0
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,2350.0
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,2572.0
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,3089.0
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,7208.0
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,7635.0
2010-01-01,247.0
2010-02-01,712.0
2010-03-01,341.0
2010-04-01,211.0
2010-05-01,241.0
2010-06-01,285.0
2010-07-01,643.0
2010-08-01,387.0
2010-09-01,1509.0
2010-10-01,306.0
2010-11-01,243.0
2010-12-01,1621.0
2011-01-01,339.0
2011-02-01,490.0
2011-03-01,438.0
2011-04-01,608.0
2011-05-01,366.0
2011-06-01,1006.0
2011-07-01,719.0
2011-08-01,651.0
2011-09-01,699.0
2011-10-01,567.0
2011-11-01,644.0
2011-12-01,401.0
2012-01-01,510.0
2012-02-01,1216.0
2012-03-01,841.0
2012-04-01,530.0
2012-05-01,585.0
2012-06-01,1176.0
2012-07-01,591.0
2012-08-01,1678.0
2012-09-01,531.0
2012-10-01,698.0
2012-11-01,348.0
2012-12-01,687.0
2013-01-01,1984.0
2013-02-01,823.0
2013-03-01,899.0
2013-04-01,467.0
2013-05-01,372.0
2013-06-01,547.0
2013-07-01,493.0
2013-08-01,496.0
2013-09-01,686.0
2013-10-01,280.0
2013-11-01,376.0
2013-12-01,1578.0
2014-01-01,259.0
2014-02-01,699.0
2014-03-01,953.0
2014-04-01,409.0
2014-05-01,1067.0
2014-06-01,1045.0
2014-07-01,685.0
2014-08-01,547.0
2014-09-01,935.0
2014-10-01,628.0
2014-11-01,608.0
2014-12-01,1352.0
2015-01-01,954.0
2015-02-01,591.0
2015-03-01,1153.0
2015-04-01,485.0
2015-05-01,1236.0
2015-06-01,1600.0
2015-07-01,495.0
2015-08-01,755.0
2015-09-01,1103.0
2015-10-01,1224.0
