Tarih,TP_IYA_CNDU2_S02_X
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,319.0
2007-02-01,334.0
2007-03-01,342.0
2007-04-01,397.0
2007-05-01,383.0
2007-06-01,417.0
2007-07-01,394.0
2007-08-01,401.0
2007-09-01,439.0
2007-10-01,438.0
2007-11-01,468.0
2007-12-01,409.0
2008-01-01,404.0
2008-02-01,389.0
2008-03-01,419.0
2008-04-01,396.0
2008-05-01,425.0
2008-06-01,434.0
2008-07-01,399.0
2008-08-01,413.0
2008-09-01,392.0
2008-10-01,493.0
2008-11-01,406.0
2008-12-01,420.0
2009-01-01,506.0
2009-02-01,522.0
2009-03-01,509.0
2009-04-01,493.0
2009-05-01,520.0
2009-06-01,519.0
2009-07-01,508.0
2009-08-01,496.0
2009-09-01,520.0
2009-10-01,502.0
2009-11-01,511.0
2009-12-01,506.0
2010-01-01,487.0
2010-02-01,496.0
2010-03-01,481.0
2010-04-01,488.0
2010-05-01,479.0
2010-06-01,494.0
2010-07-01,582.0
2010-08-01,586.0
2010-09-01,595.0
2010-10-01,571.0
2010-11-01,536.0
2010-12-01,619.0
2011-01-01,575.0
2011-02-01,583.0
2011-03-01,592.0
2011-04-01,588.0
2011-05-01,559.0
2011-06-01,576.0
2011-07-01,617.0
2011-08-01,647.0
2011-09-01,670.0
2011-10-01,644.0
2011-11-01,653.0
2011-12-01,646.0
2012-01-01,631.0
2012-02-01,647.0
2012-03-01,642.0
2012-04-01,634.0
2012-05-01,644.0
2012-06-01,646.0
2012-07-01,616.0
2012-08-01,625.0
2012-09-01,616.0
2012-10-01,615.0
2012-11-01,622.0
2012-12-01,608.0
2013-01-01,577.0
2013-02-01,596.0
2013-03-01,586.0
2013-04-01,586.0
2013-05-01,592.0
2013-06-01,607.0
2013-07-01,628.0
2013-08-01,628.0
2013-09-01,624.0
2013-10-01,617.0
2013-11-01,638.0
2013-12-01,642.0
2014-01-01,625.0
2014-02-01,631.0
2014-03-01,641.0
2014-04-01,616.0
2014-05-01,634.0
2014-06-01,620.0
2014-07-01,621.0
2014-08-01,611.0
2014-09-01,609.0
2014-10-01,599.0
2014-11-01,603.0
2014-12-01,613.0
2015-01-01,598.0
2015-02-01,589.0
2015-03-01,605.0
2015-04-01,600.0
2015-05-01,614.0
