Tarih,TP_KM_K44
2000-01-01,0.0
2000-02-01,0.0
2000-03-01,0.0
2000-04-01,0.0
2000-05-01,0.0
2000-06-01,0.0
2000-07-01,0.0
2000-08-01,0.0
2000-09-01,0.0
2000-10-01,0.0
2000-11-01,0.0
2000-12-01,0.0
2001-01-01,0.0
2001-02-01,0.0
2001-03-01,0.0
2001-04-01,0.0
2001-05-01,0.0
2001-06-01,0.0
2001-07-01,0.0
2001-08-01,0.0
2001-09-01,0.0
2001-10-01,0.0
2001-11-01,0.0
2001-12-01,0.0
2002-01-01,0.0
2002-02-01,0.0
2002-03-01,0.0
2002-04-01,0.0
2002-05-01,0.0
2002-06-01,0.0
2002-07-01,0.0
2002-08-01,0.0
2002-09-01,0.0
2002-10-01,0.0
2002-11-01,0.0
2002-12-01,0.0
2003-01-01,0.0
2003-02-01,0.0
2003-03-01,0.0
2003-04-01,0.0
2003-05-01,0.0
2003-06-01,0.0
2003-07-01,0.0
2003-08-01,0.0
2003-09-01,0.0
2003-10-01,0.0
2003-11-01,0.0
2003-12-01,0.0
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,4523.0
2006-09-01,4963.0
2006-10-01,6120.0
2006-11-01,6142.0
2006-12-01,6232.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,32726.0
2010-02-01,32726.0
2010-03-01,32726.0
2010-04-01,32726.0
2010-05-01,32726.0
2010-06-01,32726.0
2010-07-01,32726.0
2010-08-01,32726.0
2010-09-01,32726.0
2010-10-01,32726.0
2010-11-01,32726.0
2010-12-01,32726.0
2011-01-01,0.0
2011-02-01,0.0
2011-03-01,0.0
2011-04-01,0.0
2011-05-01,0.0
2011-06-01,0.0
2011-07-01,0.0
2011-08-01,0.0
2011-09-01,0.0
2011-10-01,0.0
2011-11-01,0.0
2011-12-01,0.0
2012-01-01,0.0
2012-02-01,0.0
2012-03-01,0.0
2012-04-01,0.0
2012-05-01,0.0
2012-06-01,0.0
2012-07-01,0.0
2012-08-01,0.0
2012-09-01,0.0
2012-10-01,0.0
2012-11-01,0.0
2012-12-01,0.0
2013-01-01,0.0
2013-02-01,0.0
2013-03-01,0.0
2013-04-01,0.0
2013-05-01,0.0
2013-06-01,98.0
2013-07-01,98.0
2013-08-01,98.0
2013-09-01,98.0
2013-10-01,0.0
2013-11-01,0.0
2013-12-01,184.0
2014-01-01,4075.0
2014-02-01,4244.0
2014-03-01,4247.0
2014-04-01,5149.0
2014-05-01,6096.0
2014-06-01,299.0
2014-07-01,300.0
2014-08-01,297.0
2014-09-01,310.0
2014-10-01,1314.0
2014-11-01,2254.0
2014-12-01,4752.0
2015-01-01,3164.0
2015-02-01,3164.0
2015-03-01,2946.0
2015-04-01,2856.0
2015-05-01,3077.0
2015-06-01,8846.0
2015-07-01,5772.0
2015-08-01,13740.0
2015-09-01,14246.0
2015-10-01,13758.0
2015-11-01,11434.0
2015-12-01,11754.0
2016-01-01,7228.0
2016-02-01,5859.0
2016-03-01,119.0
2016-04-01,12550.0
2016-05-01,22064.0
2016-06-01,12550.0
2016-07-01,12550.0
2016-08-01,12550.0
2016-09-01,12550.0
2016-10-01,12550.0
2016-11-01,12550.0
2016-12-01,12550.0
2017-01-01,15509.0
2017-02-01,13955.0
2017-03-01,2427.0
2017-04-01,1445.0
2017-05-01,1418.0
2017-06-01,1000.0
2017-07-01,3.0
2017-08-01,3.0
2017-09-01,4666.0
2017-10-01,4666.0
2017-11-01,4666.0
2017-12-01,14783.0
2018-01-01,14783.0
2018-02-01,15207.0
2018-03-01,14424.0
2018-04-01,11349.0
2018-05-01,31238.0
2018-06-01,2855.0
2018-07-01,2363.0
2018-08-01,8605.0
2018-09-01,22323.0
2018-10-01,7716.0
2018-11-01,14578.0
2018-12-01,56953.0
2019-01-01,52199.0
