Tarih,TP_KM_K30
2000-01-01,142121.0
2000-02-01,162423.0
2000-03-01,145965.0
2000-04-01,147213.0
2000-05-01,158245.0
2000-06-01,143606.0
2000-07-01,137051.0
2000-08-01,145536.0
2000-09-01,146129.0
2000-10-01,152786.0
2000-11-01,78339.0
2000-12-01,70647.0
2001-01-01,69012.0
2001-02-01,63580.0
2001-03-01,64452.0
2001-04-01,57548.0
2001-05-01,61569.0
2001-06-01,70796.0
2001-07-01,53114.0
2001-08-01,54377.0
2001-09-01,49347.0
2001-10-01,59069.0
2001-11-01,63612.0
2001-12-01,73150.0
2002-01-01,78546.0
2002-02-01,93234.0
2002-03-01,94452.0
2002-04-01,99352.0
2002-05-01,88237.0
2002-06-01,86900.0
2002-07-01,100805.0
2002-08-01,107595.0
2002-09-01,100607.0
2002-10-01,124232.0
2002-11-01,167423.0
2002-12-01,203307.0
2003-01-01,257462.0
2003-02-01,215322.0
2003-03-01,213557.0
2003-04-01,203722.0
2003-05-01,191580.0
2003-06-01,193336.0
2003-07-01,166857.0
2003-08-01,171493.0
2003-09-01,212268.0
2003-10-01,241614.0
2003-11-01,267811.0
2003-12-01,250608.0
2004-01-01,242051.0
2004-02-01,236531.0
2004-03-01,257560.0
2004-04-01,227950.0
2004-05-01,228904.0
2004-06-01,282113.0
2004-07-01,325364.0
2004-08-01,313732.0
2004-09-01,323984.0
2004-10-01,324399.0
2004-11-01,293435.0
2004-12-01,340251.0
2005-01-01,380214.0
2005-02-01,357079.0
2005-03-01,321728.0
2005-04-01,267519.0
2005-05-01,244511.0
2005-06-01,215330.0
2005-07-01,272424.0
2005-08-01,315112.0
2005-09-01,198086.0
2005-10-01,269130.0
2005-11-01,191538.0
2005-12-01,163239.0
2006-01-01,134437.0
2006-02-01,145818.0
2006-03-01,141781.0
2006-04-01,125770.0
2006-05-01,144207.0
2006-06-01,167993.0
2006-07-01,194878.0
2006-08-01,158772.0
2006-09-01,170604.0
2006-10-01,170428.0
2006-11-01,203522.0
2006-12-01,209031.0
2007-01-01,204249.0
2007-02-01,212915.0
2007-03-01,229898.0
2007-04-01,238167.0
2007-05-01,211172.0
2007-06-01,209641.0
2007-07-01,254753.0
2007-08-01,267492.0
2007-09-01,274950.0
2007-10-01,315021.0
2007-11-01,324327.0
2007-12-01,395275.0
2008-01-01,371155.0
2008-02-01,379984.0
2008-03-01,457826.0
2008-04-01,438692.0
2008-05-01,425675.0
2008-06-01,452133.0
2008-07-01,439952.0
2008-08-01,338028.0
2008-09-01,498708.0
2008-10-01,496429.0
2008-11-01,518198.0
2008-12-01,498832.0
2009-01-01,464023.0
2009-02-01,451025.0
2009-03-01,455665.0
2009-04-01,501812.0
2009-05-01,405800.0
2009-06-01,327000.0
2009-07-01,333133.0
2009-08-01,349507.0
2009-09-01,420415.0
2009-10-01,435640.0
2009-11-01,437559.0
2009-12-01,411270.0
2010-01-01,492302.0
2010-02-01,515178.0
2010-03-01,596026.0
2010-04-01,599387.0
2010-05-01,666229.0
2010-06-01,666852.0
2010-07-01,698150.0
2010-08-01,769532.0
2010-09-01,639810.0
2010-10-01,654110.0
2010-11-01,609848.0
2010-12-01,596809.0
2011-01-01,694447.0
2011-02-01,625727.0
2011-03-01,600392.0
2011-04-01,610620.0
2011-05-01,632424.0
2011-06-01,658877.0
2011-07-01,621516.0
2011-08-01,624466.0
2011-09-01,585811.0
2011-10-01,635692.0
2011-11-01,608000.0
2011-12-01,636813.0
2012-01-01,620290.0
2012-02-01,634434.0
2012-03-01,652999.0
2012-04-01,696481.0
2012-05-01,646511.0
2012-06-01,697900.0
2012-07-01,717353.0
2012-08-01,707470.0
2012-09-01,735861.0
2012-10-01,707299.0
2012-11-01,842151.0
2012-12-01,679791.0
2013-01-01,706973.0
2013-02-01,725408.0
2013-03-01,733519.0
2013-04-01,557136.0
2013-05-01,584328.0
2013-06-01,668511.0
2013-07-01,697683.0
2013-08-01,723007.0
2013-09-01,866816.0
2013-10-01,698695.0
2013-11-01,660259.0
2013-12-01,624376.0
2014-01-01,678092.0
2014-02-01,681556.0
2014-03-01,798583.0
2014-04-01,676785.0
2014-05-01,640110.0
2014-06-01,692151.0
2014-07-01,671345.0
2014-08-01,647215.0
2014-09-01,628437.0
2014-10-01,490849.0
2014-11-01,525273.0
2014-12-01,568773.0
2015-01-01,684453.0
2015-02-01,617535.0
2015-03-01,627536.0
2015-04-01,446602.0
2015-05-01,403032.0
