Tarih,TP_UYPUCAY_K13
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,0.0
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,375.0
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,631.0
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,1739.0
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,662.0
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,276.0
2006-01-01,235.0
2006-04-01,324.0
2006-07-01,740.0
2006-10-01,2481.0
2007-01-01,174.0
2007-04-01,797.0
2007-07-01,1395.0
2007-10-01,1403.0
2008-01-01,1403.0
2008-04-01,1416.0
2008-07-01,1523.0
2008-10-01,1482.0
2009-01-01,1539.0
2009-04-01,1011.0
2009-07-01,1001.0
2009-10-01,1044.0
2010-01-01,1081.0
2010-04-01,1138.0
2010-07-01,1158.0
2010-10-01,1197.0
2011-01-01,1254.0
2011-04-01,1146.0
2011-07-01,1513.0
2011-10-01,999.0
2012-01-01,678.0
2012-04-01,622.0
2012-07-01,546.0
2012-10-01,515.0
2013-01-01,494.0
2013-04-01,518.0
2013-07-01,397.0
2013-10-01,474.0
2014-01-01,741.0
2014-04-01,719.0
2014-07-01,769.0
2014-10-01,804.0
2015-01-01,731.0
2015-04-01,732.0
2015-07-01,694.0
2015-10-01,832.0
2016-01-01,685.0
2016-04-01,757.0
2016-07-01,845.0
2016-10-01,645.0
2017-01-01,658.0
2017-04-01,702.0
2017-07-01,613.0
2017-10-01,572.0
2018-01-01,376.0
2018-04-01,932.0
2018-07-01,534.0
2018-10-01,594.0
2019-01-01,841.0
2019-04-01,834.0
2019-07-01,717.0
2019-10-01,855.0
2020-01-01,826.0
2020-04-01,625.0
2020-07-01,594.0
2020-10-01,581.0
2021-01-01,694.0
2021-04-01,897.0
2021-07-01,576.0
2021-10-01,588.0
2022-01-01,578.0
2022-04-01,1040.0
2022-07-01,1420.0
2022-10-01,1162.0
2023-01-01,1349.0
2023-04-01,478.0
2023-07-01,587.0
2023-10-01,578.0
2024-01-01,670.0
2024-04-01,734.0
2024-07-01,805.0
2024-10-01,903.0
2025-01-01,835.0
2025-04-01,723.0
