Tarih,TP_BKR_TRY_KTFTUK01
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,15.48
2012-08-01,15.33
2012-09-01,15.27
2012-10-01,15.39
2012-11-01,15.23
2012-12-01,15.17
2013-01-01,14.92
2013-02-01,14.64
2013-03-01,14.43
2013-04-01,14.02
2013-05-01,13.24
2013-06-01,12.61
2013-07-01,12.43
2013-08-01,12.29
2013-09-01,12.27
2013-10-01,12.22
2013-11-01,12.22
2013-12-01,12.28
2014-01-01,12.35
2014-02-01,12.45
2014-03-01,12.6
2014-04-01,12.56
2014-05-01,12.61
2014-06-01,12.67
2014-07-01,12.74
2014-08-01,12.74
2014-09-01,12.75
2014-10-01,12.73
2014-11-01,12.99
2014-12-01,13.1
2015-01-01,13.29
2015-02-01,13.25
2015-03-01,13.23
2015-04-01,13.18
2015-05-01,13.24
2015-06-01,13.14
2015-07-01,13.23
2015-08-01,13.29
2015-09-01,13.37
2015-10-01,13.54
2015-11-01,13.64
2015-12-01,13.69
2016-01-01,13.9
2016-02-01,14.01
2016-03-01,14.03
2016-04-01,14.12
2016-05-01,14.22
2016-06-01,14.32
2016-07-01,14.38
2016-08-01,14.45
2016-09-01,14.48
2016-10-01,14.76
2016-11-01,14.68
