Tarih,TP_IN_KL2_EV_DEV_B
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,2076.0
2010-02-01,217.0
2010-03-01,1178.0
2010-04-01,18710.0
2010-05-01,17764.0
2010-06-01,23398.0
2010-07-01,1679.0
2010-08-01,32938.0
2010-09-01,691.0
2010-10-01,3625.0
2010-11-01,4859.8
2010-12-01,14102.7
2011-01-01,26682.0
2011-02-01,4599.0
2011-03-01,1975.0
2011-04-01,1164.0
2011-05-01,28283.0
2011-06-01,989.0
2011-07-01,15721.0
2011-08-01,1267.1
2011-09-01,2958.0
2011-10-01,24708.2
2011-11-01,553.2
2011-12-01,11648.0
2012-01-01,8153.8
2012-02-01,4842.0
2012-03-01,6509.0
2012-04-01,112.0
2012-05-01,100.0
2012-06-01,39619.0
2012-07-01,7805.8
2012-08-01,521.0
2012-09-01,11140.0
2012-10-01,1128.0
2012-11-01,862.0
2012-12-01,1400.0
2013-01-01,2278.0
2013-02-01,846.6
2013-03-01,667.0
2013-04-01,7576.0
2013-05-01,18970.0
2013-06-01,6864.0
2013-07-01,871.0
2013-08-01,15469.2
2013-09-01,10790.0
2013-10-01,15408.0
2013-11-01,17002.0
2013-12-01,15807.0
2014-01-01,2450.0
2014-02-01,1612.0
2014-03-01,12237.0
2014-04-01,4753.0
2014-05-01,844.0
2014-06-01,8106.0
2014-07-01,1702.0
2014-08-01,18508.5
2014-09-01,13797.0
2014-10-01,1661.0
2014-11-01,2671.0
2014-12-01,4498.0
2015-01-01,6199.0
2015-02-01,398.0
2015-03-01,1744.3
2015-04-01,25360.0
2015-05-01,1381.0
2015-06-01,5305.0
2015-07-01,1147.0
2015-08-01,453.0
2015-09-01,541.0
2015-10-01,23033.0
