Tarih,TP_BEK_S04_C_S
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,0.23
2013-02-01,0.24
2013-03-01,0.24
2013-04-01,0.29
2013-05-01,0.37
2013-06-01,0.53
2013-07-01,0.65
2013-08-01,0.64
2013-09-01,0.92
2013-10-01,0.59
2013-11-01,0.56
2013-12-01,0.66
2014-01-01,0.73
2014-02-01,0.9
2014-03-01,0.64
2014-04-01,0.79
2014-05-01,0.7
2014-06-01,0.67
2014-07-01,0.58
2014-08-01,0.46
2014-09-01,0.5
2014-10-01,0.49
2014-11-01,0.4
2014-12-01,0.5
2015-01-01,0.52
2015-02-01,0.51
2015-03-01,0.51
2015-04-01,0.47
2015-05-01,0.4
2015-06-01,0.68
2015-07-01,0.61
2015-08-01,0.72
2015-09-01,0.93
2015-10-01,0.79
2015-11-01,0.67
2015-12-01,0.6
2016-01-01,0.74
2016-02-01,0.75
2016-03-01,0.61
2016-04-01,0.56
2016-05-01,0.43
2016-06-01,0.62
2016-07-01,0.37
2016-08-01,0.42
2016-09-01,0.4
2016-10-01,0.38
2016-11-01,0.54
2016-12-01,0.47
2017-01-01,0.68
2017-02-01,0.61
2017-03-01,0.59
2017-04-01,0.58
2017-05-01,0.73
2017-06-01,0.48
2017-07-01,0.42
2017-08-01,0.51
2017-09-01,0.39
2017-10-01,0.39
2017-11-01,0.47
2017-12-01,1.06
2018-01-01,0.37
2018-02-01,0.51
2018-03-01,0.19
2018-04-01,1.18
2018-05-01,2.32
2018-06-01,0.92
2018-07-01,0.9
2018-08-01,2.36
2018-09-01,2.41
2018-10-01,2.15
2018-11-01,1.61
2018-12-01,1.38
2019-01-01,1.46
2019-02-01,1.28
2019-03-01,1.64
2019-04-01,1.75
2019-05-01,2.04
2019-06-01,1.27
2019-07-01,1.84
2019-08-01,1.23
2019-09-01,1.61
2019-10-01,1.19
2019-11-01,1.2
2019-12-01,1.14
2020-01-01,0.89
2020-02-01,0.64
2020-03-01,0.65
2020-04-01,0.67
2020-05-01,0.5
2020-06-01,0.45
2020-07-01,0.42
2020-08-01,1.14
2020-09-01,1.78
2020-10-01,1.46
2020-11-01,1.53
2020-12-01,1.3
2021-01-01,1.04
2021-02-01,1.0
2021-03-01,0.96
2021-04-01,1.38
2021-05-01,1.26
2021-06-01,1.15
2021-07-01,1.07
