Tarih,TP_BEK_S03_A_A
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,5.34
2013-02-01,5.15
2013-03-01,5.05
2013-04-01,5.4
2013-05-01,4.65
2013-06-01,5.44
2013-07-01,6.18
2013-08-01,6.4
2013-09-01,6.48
2013-10-01,6.33
2013-11-01,6.59
2013-12-01,7.14
2014-01-01,7.4
2014-02-01,10.55
2014-03-01,11.0
2014-04-01,10.16
2014-05-01,10.2
2014-06-01,9.32
2014-07-01,8.51
2014-08-01,8.64
2014-09-01,8.61
2014-10-01,9.56
2014-11-01,9.4
2014-12-01,10.2
2015-01-01,9.6
2015-02-01,9.86
2015-03-01,9.91
2015-04-01,10.16
2015-05-01,10.16
2015-06-01,10.26
2015-07-01,10.2
2015-08-01,10.23
2015-09-01,10.45
2015-10-01,10.38
2015-11-01,10.24
2015-12-01,10.31
2016-01-01,10.37
2016-02-01,10.41
2016-03-01,10.4
2016-04-01,10.0
2016-05-01,9.7
2016-06-01,9.19
2016-07-01,8.77
2016-08-01,8.45
2016-09-01,8.18
2016-10-01,8.0
2016-11-01,8.13
2016-12-01,8.39
2017-01-01,9.55
