Tarih,TP_BEK_S05_A_M
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,1.78
2013-02-01,1.772
2013-03-01,1.8011
2013-04-01,1.795
2013-05-01,1.8
2013-06-01,1.88
2013-07-01,1.94
2013-08-01,1.9325
2013-09-01,2.013
2013-10-01,1.99
2013-11-01,2.03
2013-12-01,2.02
2014-01-01,2.2
2014-02-01,2.2
2014-03-01,2.235
2014-04-01,2.14
2014-05-01,2.0825
2014-06-01,2.13
2014-07-01,2.13
2014-08-01,2.16
2014-09-01,2.215
2014-10-01,2.275
2014-11-01,2.255
2014-12-01,2.312
2015-01-01,2.3
2015-02-01,2.45
2015-03-01,2.6
2015-04-01,2.7
2015-05-01,2.65
2015-06-01,2.73
2015-07-01,2.67
2015-08-01,2.8
2015-09-01,3.0
2015-10-01,2.95
2015-11-01,2.87
2015-12-01,2.95
2016-01-01,3.025
2016-02-01,2.97
2016-03-01,2.9
2016-04-01,2.86
2016-05-01,2.9775
2016-06-01,2.94
2016-07-01,2.9035
2016-08-01,2.95
2016-09-01,2.975
2016-10-01,3.08
2016-11-01,3.3394
2016-12-01,3.46
