Tarih,TP_IYABGS3S_S23_X
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,219.0
2007-02-01,237.0
2007-03-01,224.0
2007-04-01,264.0
2007-05-01,253.0
2007-06-01,278.0
2007-07-01,268.0
2007-08-01,271.0
2007-09-01,278.0
2007-10-01,287.0
2007-11-01,298.0
2007-12-01,265.0
2008-01-01,270.0
2008-02-01,269.0
2008-03-01,281.0
2008-04-01,278.0
2008-05-01,274.0
2008-06-01,296.0
2008-07-01,273.0
2008-08-01,275.0
2008-09-01,286.0
2008-10-01,292.0
2008-11-01,269.0
2008-12-01,282.0
2009-01-01,338.0
2009-02-01,343.0
2009-03-01,315.0
2009-04-01,338.0
2009-05-01,333.0
2009-06-01,323.0
2009-07-01,320.0
2009-08-01,315.0
2009-09-01,326.0
2009-10-01,320.0
2009-11-01,323.0
2009-12-01,327.0
2010-01-01,340.0
2010-02-01,331.0
2010-03-01,319.0
2010-04-01,335.0
2010-05-01,315.0
2010-06-01,331.0
2010-07-01,366.0
2010-08-01,360.0
2010-09-01,350.0
2010-10-01,348.0
2010-11-01,348.0
2010-12-01,369.0
2011-01-01,360.0
2011-02-01,357.0
2011-03-01,371.0
2011-04-01,362.0
2011-05-01,355.0
2011-06-01,359.0
2011-07-01,372.0
2011-08-01,391.0
2011-09-01,396.0
2011-10-01,385.0
2011-11-01,389.0
2011-12-01,387.0
2012-01-01,374.0
2012-02-01,383.0
2012-03-01,404.0
2012-04-01,414.0
2012-05-01,409.0
2012-06-01,410.0
2012-07-01,399.0
2012-08-01,403.0
2012-09-01,402.0
2012-10-01,394.0
2012-11-01,390.0
2012-12-01,393.0
2013-01-01,358.0
2013-02-01,395.0
2013-03-01,403.0
2013-04-01,428.0
2013-05-01,433.0
2013-06-01,436.0
2013-07-01,453.0
2013-08-01,447.0
2013-09-01,443.0
2013-10-01,446.0
2013-11-01,444.0
2013-12-01,456.0
2014-01-01,433.0
2014-02-01,447.0
2014-03-01,438.0
2014-04-01,429.0
2014-05-01,446.0
2014-06-01,441.0
2014-07-01,442.0
2014-08-01,432.0
2014-09-01,435.0
2014-10-01,430.0
2014-11-01,430.0
2014-12-01,435.0
2015-01-01,421.0
2015-02-01,429.0
2015-03-01,441.0
2015-04-01,435.0
2015-05-01,428.0
