Tarih,TP_UNDNAKLIYE_TIT_BY_ADET
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,64.0
2012-02-01,47.0
2012-03-01,40.0
2012-04-01,60.0
2012-05-01,70.0
2012-06-01,26.0
2012-07-01,37.0
2012-08-01,62.0
2012-09-01,56.0
2012-10-01,78.0
2012-11-01,43.0
2012-12-01,52.0
2013-01-01,80.0
2013-02-01,61.0
2013-03-01,51.0
2013-04-01,62.0
2013-05-01,38.0
2013-06-01,72.0
2013-07-01,91.0
2013-08-01,105.0
2013-09-01,73.0
2013-10-01,92.0
2013-11-01,89.0
2013-12-01,93.0
2014-01-01,63.0
2014-02-01,58.0
2014-03-01,83.0
2014-04-01,91.0
2014-05-01,60.0
2014-06-01,73.0
2014-07-01,45.0
2014-08-01,38.0
2014-09-01,63.0
2014-10-01,68.0
2014-11-01,82.0
2014-12-01,73.0
2015-01-01,58.0
2015-02-01,46.0
2015-03-01,35.0
2015-04-01,60.0
2015-05-01,71.0
2015-06-01,66.0
2015-07-01,53.0
2015-08-01,84.0
2015-09-01,57.0
2015-10-01,81.0
2015-11-01,73.0
2015-12-01,61.0
2016-01-01,81.0
2016-02-01,91.0
2016-03-01,85.0
2016-04-01,138.0
2016-05-01,101.0
2016-06-01,100.0
2016-07-01,90.0
2016-08-01,74.0
2016-09-01,84.0
