Tarih,TP_YKFE_TR
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,4.38
2010-02-01,4.39
2010-03-01,4.39
2010-04-01,4.45
2010-05-01,4.45
2010-06-01,4.45
2010-07-01,4.49
2010-08-01,4.53
2010-09-01,4.6
2010-10-01,4.58
2010-11-01,4.65
2010-12-01,4.67
2011-01-01,4.69
2011-02-01,4.72
2011-03-01,4.82
2011-04-01,4.81
2011-05-01,4.89
2011-06-01,4.9
2011-07-01,4.89
2011-08-01,4.94
2011-09-01,4.99
2011-10-01,5.09
2011-11-01,5.06
2011-12-01,5.02
2012-01-01,5.19
2012-02-01,5.22
2012-03-01,5.26
2012-04-01,5.29
2012-05-01,5.41
2012-06-01,5.44
2012-07-01,5.51
2012-08-01,5.55
2012-09-01,5.59
2012-10-01,5.58
2012-11-01,5.62
2012-12-01,5.68
2013-01-01,5.73
2013-02-01,5.82
2013-03-01,5.91
2013-04-01,5.91
2013-05-01,5.98
2013-06-01,6.09
2013-07-01,6.19
2013-08-01,6.22
2013-09-01,6.23
2013-10-01,6.29
2013-11-01,6.28
2013-12-01,6.34
2014-01-01,6.29
2014-02-01,6.43
2014-03-01,6.48
2014-04-01,6.49
2014-05-01,6.64
2014-06-01,6.66
2014-07-01,6.76
2014-08-01,6.84
2014-09-01,6.92
2014-10-01,6.98
2014-11-01,7.04
2014-12-01,7.1
2015-01-01,7.19
2015-02-01,7.31
2015-03-01,7.41
2015-04-01,7.51
2015-05-01,7.56
2015-06-01,7.68
2015-07-01,7.83
2015-08-01,7.79
2015-09-01,7.95
2015-10-01,7.94
2015-11-01,8.09
2015-12-01,8.08
2016-01-01,8.2
2016-02-01,8.24
2016-03-01,8.35
