Tarih,TP_UNDNAKLIYE_YIT_CZ_ADET
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,244.0
2012-02-01,231.0
2012-03-01,276.0
2012-04-01,257.0
2012-05-01,321.0
2012-06-01,339.0
2012-07-01,348.0
2012-08-01,379.0
2012-09-01,375.0
2012-10-01,383.0
2012-11-01,411.0
2012-12-01,348.0
2013-01-01,238.0
2013-02-01,429.0
2013-03-01,397.0
2013-04-01,444.0
2013-05-01,406.0
2013-06-01,460.0
2013-07-01,470.0
2013-08-01,287.0
2013-09-01,482.0
2013-10-01,405.0
2013-11-01,424.0
2013-12-01,424.0
2014-01-01,343.0
2014-02-01,437.0
2014-03-01,501.0
2014-04-01,435.0
2014-05-01,477.0
2014-06-01,465.0
2014-07-01,390.0
2014-08-01,347.0
2014-09-01,399.0
2014-10-01,397.0
2014-11-01,421.0
2014-12-01,409.0
2015-01-01,386.0
2015-02-01,455.0
2015-03-01,424.0
2015-04-01,489.0
2015-05-01,482.0
2015-06-01,494.0
2015-07-01,492.0
2015-08-01,430.0
2015-09-01,467.0
2015-10-01,520.0
2015-11-01,518.0
2015-12-01,467.0
2016-01-01,432.0
2016-02-01,508.0
2016-03-01,567.0
2016-04-01,541.0
2016-05-01,684.0
2016-06-01,705.0
2016-07-01,480.0
2016-08-01,489.0
2016-09-01,485.0
