Tarih,TP_API_REP_ORT_G1
2000-01-01,17.3
2000-01-02,32.23
2000-01-03,
2000-01-04,
2000-01-05,49.94
2000-01-06,
2000-01-07,16.25
2000-01-08,
2000-01-09,
2000-01-10,
2000-01-11,165.75
2000-01-12,504.98
2000-02-01,32.23
2000-03-01,
2000-04-01,
2000-05-01,49.94
2000-06-01,
2000-07-01,16.25
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,165.75
2000-12-01,504.98
2001-01-01,63.23
2001-01-02,364.53
2001-01-03,103.01
2001-01-04,
2001-01-05,
2001-01-06,
2001-01-07,
2001-01-08,
2001-01-09,62.0
2001-01-10,62.0
2001-01-11,
2001-01-12,
2001-02-01,364.53
2001-03-01,103.01
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,62.0
2001-10-01,62.0
2001-11-01,
2001-12-01,
2002-01-01,
2002-01-02,62.0
2002-01-03,57.33
2002-01-04,51.0
2002-01-05,
2002-01-06,
2002-01-07,
2002-01-08,
2002-01-09,
2002-01-10,
2002-01-11,
2002-01-12,
2002-02-01,62.0
2002-03-01,57.33
2002-04-01,51.0
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-01-02,
2003-01-03,
2003-01-04,
2003-01-05,48.0
2003-01-06,41.85
2003-01-07,41.0
2003-01-08,
2003-01-09,
2003-01-10,
2003-01-11,
2003-01-12,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,48.0
2003-06-01,41.85
2003-07-01,41.0
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,30.14
2004-01-02,
2004-01-03,
2004-01-04,
2004-01-05,
2004-01-06,
2004-01-07,
2004-01-08,
2004-01-09,
2004-01-10,
2004-01-11,
2004-01-12,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,19.0
2005-01-02,18.5
2005-01-03,17.5
2005-01-04,
2005-01-05,
2005-01-06,16.25
2005-01-07,
2005-01-08,
2005-01-09,
2005-01-10,
2005-01-11,
2005-01-12,
2005-02-01,18.5
2005-03-01,17.5
2005-04-01,
2005-05-01,
2005-06-01,16.25
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-01-02,
2006-01-03,
2006-01-04,
2006-01-05,
2006-01-06,
2006-01-07,
2006-01-08,
2006-01-09,
2006-01-10,
2006-01-11,
2006-01-12,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-01-02,
2007-01-03,
2007-01-04,
2007-01-05,
2007-01-06,
2007-01-07,
2007-01-08,
2007-01-09,
2007-01-10,
2007-01-11,
2007-01-12,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-01-02,
2008-01-03,
2008-01-04,
2008-01-05,
2008-01-06,19.81
2008-01-07,
2008-01-08,
2008-01-09,
2008-01-10,
2008-01-11,
2008-01-12,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,19.81
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-01-02,
2009-01-03,
2009-01-04,
2009-01-05,
2009-01-06,
2009-01-07,
2009-01-08,
2009-01-09,
2009-01-10,
2009-01-11,
2009-01-12,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-01-02,
2010-01-03,
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-09,
2010-01-10,
2010-01-11,
2010-01-12,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-01-02,
2011-01-03,
2011-01-04,
2011-01-05,
2011-01-06,
2011-01-07,
2011-01-08,8.0
2011-01-09,
2011-01-10,11.25
2011-01-11,12.05
2011-01-12,12.07
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,8.0
2011-09-01,
2011-10-01,11.25
2011-11-01,12.05
2011-12-01,12.07
2012-01-01,12.0
2012-01-02,
2012-01-03,11.0
2012-01-04,11.0
2012-01-05,11.0
2012-01-06,11.0
2012-01-07,11.0
2012-01-08,11.0
2012-01-09,
2012-01-10,
2012-01-11,9.5
2012-01-12,
2012-02-01,
2012-03-01,11.0
2012-04-01,11.0
2012-05-01,11.0
2012-06-01,11.0
2012-07-01,11.0
2012-08-01,11.0
2012-09-01,
2012-10-01,
2012-11-01,9.5
2012-12-01,
2013-01-01,
2013-01-02,
2013-01-03,
2013-01-04,
2013-01-05,
2013-01-06,6.0
2013-01-07,6.22
2013-01-08,6.93
2013-01-09,6.98
2013-01-10,6.86
2013-01-11,7.07
2013-01-12,7.3
2013-02-01,
2013-03-01,
2013-04-01,
2013-05-01,
2013-06-01,6.0
2013-07-01,6.22
2013-08-01,6.93
2013-09-01,6.98
2013-10-01,6.86
2013-11-01,7.07
2013-12-01,7.3
2014-01-01,7.67
2014-01-02,11.53
2014-01-03,11.58
2014-01-04,11.52
2014-01-05,11.5
2014-01-06,
2014-01-07,12.0
2014-01-08,11.92
2014-01-09,11.08
2014-01-10,10.8
2014-01-11,10.96
2014-01-12,10.94
2014-02-01,11.53
2014-03-01,11.58
2014-04-01,11.52
2014-05-01,11.5
2014-06-01,
2014-07-01,12.0
2014-08-01,11.92
2014-09-01,11.08
2014-10-01,10.8
2014-11-01,10.96
2014-12-01,10.94
2015-01-01,10.81
2015-01-02,10.76
2015-01-03,10.41
2015-01-04,10.53
2015-01-05,10.6
2015-01-06,10.64
2015-01-07,10.63
2015-01-08,10.66
2015-01-09,10.69
2015-01-10,10.75
2015-01-11,10.75
2015-01-12,10.75
2015-02-01,10.76
2015-03-01,10.41
2015-04-01,10.53
2015-05-01,10.6
2015-06-01,10.64
2015-07-01,10.63
2015-08-01,10.66
2015-09-01,10.69
2015-10-01,10.75
2015-11-01,10.75
2015-12-01,10.75
2016-01-01,10.75
2016-01-02,10.75
2016-01-03,10.7
2016-01-04,10.34
2016-01-05,9.86
2016-01-06,9.33
2016-01-07,8.88
2016-01-08,8.71
2016-01-09,8.42
2016-01-10,8.25
2016-01-11,8.3
2016-01-12,8.5
2016-02-01,10.75
2016-03-01,10.7
2016-04-01,10.34
2016-05-01,9.86
2016-06-01,9.33
2016-07-01,8.88
2016-08-01,8.71
2016-09-01,8.42
2016-10-01,8.25
2016-11-01,8.3
2016-12-01,8.5
2017-01-01,8.67
2017-01-02,9.72
2017-01-03,10.8
2017-01-04,11.74
2017-01-05,12.17
2017-01-06,12.25
2017-01-07,12.25
2017-01-08,12.25
2017-01-09,12.25
2017-01-10,12.25
2017-01-11,12.25
2017-01-12,12.5
2017-02-01,9.72
2017-03-01,10.8
2017-04-01,11.74
2017-05-01,12.17
2017-06-01,12.25
2017-07-01,12.25
2017-08-01,12.25
2017-09-01,12.25
2017-10-01,12.25
2017-11-01,12.25
2017-12-01,12.5
2018-01-01,12.75
2018-01-02,12.75
2018-01-03,12.75
2018-01-04,12.79
2018-01-05,14.29
2018-01-06,16.77
2018-01-07,19.25
2018-01-08,19.25
2018-01-09,19.83
2018-01-10,25.5
2018-01-11,
2018-01-12,25.5
