Tarih,TP_PB_SKV05
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,377124.0
2006-01-01,352315.0
2006-02-01,301790.0
2006-03-01,317645.0
2006-04-01,318701.0
2006-05-01,239070.0
2006-06-01,369283.0
2006-07-01,416694.0
2006-08-01,349333.0
2006-09-01,344690.0
2006-10-01,402648.0
2006-11-01,310365.0
2006-12-01,282281.0
2007-01-01,310332.0
2007-02-01,348598.0
2007-03-01,345744.0
2007-04-01,364954.0
2007-05-01,192303.0
2007-06-01,442382.0
2007-07-01,394612.0
2007-08-01,476159.0
2007-09-01,441947.0
2007-10-01,348498.0
2007-11-01,519079.0
2007-12-01,1108192.0
2008-01-01,559774.0
2008-02-01,624466.0
2008-03-01,862314.0
2008-04-01,860299.0
2008-05-01,781028.0
2008-06-01,1306860.0
2008-07-01,1296044.0
2008-08-01,994668.0
2008-09-01,1025991.0
2008-10-01,1037025.0
2008-11-01,749083.0
2008-12-01,1521820.0
2009-01-01,1253333.0
2009-02-01,2296034.0
2009-03-01,3208968.0
2009-04-01,2106150.0
2009-05-01,2013604.0
2009-06-01,2965041.0
2009-07-01,2303347.0
2009-08-01,2685780.0
2009-09-01,2903379.0
2009-10-01,2309375.0
2009-11-01,2096155.0
2009-12-01,2834911.0
2010-01-01,2290845.0
2010-02-01,1929841.0
2010-03-01,2681217.0
2010-04-01,2828369.0
2010-05-01,1932668.0
2010-06-01,2555487.0
2010-07-01,2113610.0
2010-08-01,2080067.0
2010-09-01,2510125.0
2010-10-01,2769126.0
2010-11-01,2346733.0
2010-12-01,3275555.0
2011-01-01,3105563.0
2011-02-01,3228790.0
2011-03-01,3092569.0
2011-04-01,3523313.0
2011-05-01,3489081.0
2011-06-01,3543312.0
2011-07-01,3567185.0
2011-08-01,3204382.0
2011-09-01,3713016.0
2011-10-01,3284868.0
2011-11-01,2828685.0
2011-12-01,2070705.0
2012-01-01,1535398.0
2012-02-01,1564621.0
2012-03-01,2575471.0
2012-04-01,2014614.0
2012-05-01,2509023.0
2012-06-01,2362575.0
2012-07-01,1845401.0
2012-08-01,1424146.0
2012-09-01,1411159.0
2012-10-01,1314269.0
2012-11-01,1321728.0
2012-12-01,1797784.0
2013-01-01,1007023.0
2013-02-01,1141090.0
2013-03-01,1226723.0
2013-04-01,1269928.0
2013-05-01,1429632.0
2013-06-01,2243031.0
2013-07-01,1202681.0
2013-08-01,1797257.0
2013-09-01,2655610.0
2013-10-01,1612794.0
2013-11-01,1074807.0
