Tarih,TP_KM_G06
2000-01-01,751823.0
2000-02-01,633863.0
2000-03-01,699222.0
2000-04-01,793669.0
2000-05-01,903215.0
2000-06-01,689047.0
2000-07-01,655476.0
2000-08-01,656000.0
2000-09-01,641471.0
2000-10-01,666339.0
2000-11-01,877915.0
2000-12-01,1305554.0
2001-01-01,1542523.0
2001-02-01,1849449.0
2001-03-01,1625142.0
2001-04-01,1618516.0
2001-05-01,1644338.0
2001-06-01,1625236.0
2001-07-01,1728125.0
2001-08-01,1786361.0
2001-09-01,1079390.0
2001-10-01,1079911.0
2001-11-01,974879.0
2001-12-01,1021258.0
2002-01-01,1408304.0
2002-02-01,1004881.0
2002-03-01,928443.0
2002-04-01,844527.0
2002-05-01,745786.0
2002-06-01,659870.0
2002-07-01,658236.0
2002-08-01,717979.0
2002-09-01,707882.0
2002-10-01,734460.0
2002-11-01,747173.0
2002-12-01,450355.0
2003-01-01,490886.0
2003-02-01,343505.0
2003-03-01,40214.0
2003-04-01,447835.0
2003-05-01,233907.0
2003-06-01,125525.0
2003-07-01,143054.0
2003-08-01,213754.0
2003-09-01,318420.0
2003-10-01,475338.0
2003-11-01,532802.0
2003-12-01,854091.0
2004-01-01,161312.0
2004-02-01,238430.0
2004-03-01,248511.0
2004-04-01,260914.0
2004-05-01,335029.0
2004-06-01,389291.0
2004-07-01,341423.0
2004-08-01,360358.0
2004-09-01,492622.0
2004-10-01,648857.0
2004-11-01,708310.0
2004-12-01,628107.0
2005-01-01,597956.0
2005-02-01,591930.0
2005-03-01,690977.0
2005-04-01,763175.0
2005-05-01,280519.0
2005-06-01,293083.0
2005-07-01,237225.0
2005-08-01,328912.0
2005-09-01,275318.0
2005-10-01,411755.0
2005-11-01,514906.0
2005-12-01,636762.0
2006-01-01,414091.0
2006-02-01,447088.0
2006-03-01,487446.0
2006-04-01,555700.0
2006-05-01,591121.0
2006-06-01,1338974.0
2006-07-01,483257.0
2006-08-01,1018806.0
2006-09-01,379972.0
2006-10-01,316608.0
2006-11-01,477994.0
2006-12-01,466281.0
2007-01-01,350717.0
2007-02-01,263928.0
2007-03-01,283827.0
2007-04-01,433807.0
2007-05-01,463001.0
2007-06-01,290243.0
2007-07-01,236705.0
2007-08-01,291405.0
2007-09-01,204922.0
2007-10-01,304856.0
2007-11-01,494681.0
2007-12-01,541194.0
2008-01-01,530378.0
2008-02-01,495217.0
2008-03-01,661640.0
2008-04-01,625243.0
2008-05-01,614845.0
2008-06-01,441472.0
2008-07-01,488683.0
2008-08-01,679047.0
2008-09-01,434491.0
2008-10-01,373817.0
2008-11-01,539715.0
2008-12-01,615423.0
2009-01-01,571794.0
2009-02-01,513043.0
2009-03-01,425737.0
2009-04-01,426455.0
2009-05-01,286445.0
2009-06-01,443569.0
2009-07-01,392417.0
2009-08-01,238093.0
2009-09-01,467759.0
2009-10-01,370938.0
2009-11-01,538083.0
2009-12-01,329683.0
2010-01-01,458805.0
2010-02-01,296512.0
2010-03-01,337545.0
2010-04-01,253862.0
2010-05-01,243157.0
2010-06-01,493035.0
2010-07-01,365950.0
2010-08-01,283987.0
2010-09-01,178958.0
2010-10-01,338341.0
2010-11-01,256003.0
2010-12-01,299986.0
2011-01-01,306645.0
2011-02-01,387410.0
2011-03-01,168118.0
2011-04-01,180108.0
2011-05-01,133546.0
2011-06-01,223010.0
2011-07-01,200217.0
2011-08-01,118158.0
2011-09-01,107728.0
2011-10-01,73377.0
2011-11-01,214656.0
2011-12-01,243894.0
2012-01-01,304534.0
2012-02-01,296349.0
2012-03-01,212529.0
2012-04-01,162587.0
2012-05-01,174197.0
2012-06-01,230459.0
2012-07-01,312312.0
2012-08-01,129287.0
2012-09-01,195386.0
2012-10-01,207607.0
2012-11-01,202560.0
2012-12-01,269434.0
2013-01-01,243141.0
2013-02-01,248720.0
2013-03-01,255029.0
2013-04-01,203380.0
2013-05-01,97431.0
2013-06-01,78709.0
2013-07-01,43600.0
2013-08-01,51734.0
2013-09-01,118481.0
2013-10-01,37533.0
2013-11-01,24118.0
2013-12-01,20573.0
2014-01-01,22043.0
2014-02-01,26471.0
2014-03-01,23744.0
2014-04-01,13050.0
2014-05-01,42479.0
2014-06-01,22869.0
2014-07-01,20177.0
2014-08-01,22558.0
2014-09-01,19147.0
2014-10-01,22060.0
2014-11-01,20804.0
2014-12-01,21223.0
2015-01-01,17836.0
2015-02-01,22791.0
2015-03-01,23316.0
2015-04-01,33827.0
2015-05-01,23431.0
2015-06-01,21958.0
2015-07-01,14945.0
2015-08-01,24084.0
2015-09-01,15093.0
2015-10-01,19619.0
2015-11-01,22353.0
2015-12-01,24776.0
2016-01-01,31327.0
2016-02-01,31458.0
2016-03-01,27728.0
2016-04-01,29432.0
2016-05-01,28489.0
2016-06-01,23921.0
2016-07-01,22631.0
2016-08-01,20220.0
2016-09-01,19205.0
2016-10-01,21501.0
2016-11-01,17294.0
2016-12-01,17679.0
2017-01-01,13576.0
2017-02-01,11985.0
2017-03-01,13234.0
2017-04-01,19617.0
2017-05-01,14234.0
2017-06-01,203004.0
2017-07-01,15207.0
2017-08-01,18919.0
2017-09-01,16797.0
2017-10-01,19283.0
2017-11-01,17839.0
2017-12-01,21554.0
2018-01-01,38408.0
2018-02-01,25470.0
2018-03-01,17907.0
2018-04-01,25780.0
2018-05-01,8956.0
2018-06-01,25670.0
2018-07-01,27012.0
2018-08-01,73394.0
2018-09-01,29045.0
2018-10-01,28263.0
2018-11-01,26979.0
2018-12-01,32404.0
2019-01-01,5629.0
2019-02-01,4447.0
2019-03-01,2054.0
2019-04-01,3003.0
2019-05-01,1974.0
2019-06-01,1954.0
2019-07-01,10853.0
2019-08-01,10986.0
2019-09-01,2598.0
2019-10-01,1887.0
2019-11-01,991.0
2019-12-01,2437.0
2020-01-01,829.0
2020-02-01,5719.0
2020-03-01,1193.0
2020-04-01,890.0
2020-05-01,940681.0
2020-06-01,609614.0
2020-07-01,1361.0
2020-08-01,6902.0
2020-09-01,2587.0
2020-10-01,36168.0
2020-11-01,44691.0
2020-12-01,22367.0
2021-01-01,17770.0
2021-02-01,19198.0
2021-03-01,11274.0
2021-04-01,41452.0
2021-05-01,23993.0
2021-06-01,21253.0
2021-07-01,20746.0
2021-08-01,25279.0
2021-09-01,29403.0
2021-10-01,26643.0
2021-11-01,27911.0
2021-12-01,40173.0
2022-01-01,5410.0
2022-02-01,14899.0
2022-03-01,32710.0
2022-04-01,73863.0
2022-05-01,125071.0
2022-06-01,54255.0
2022-07-01,59799.0
2022-08-01,51538.0
2022-09-01,40766.0
2022-10-01,25110.0
2022-11-01,71376.0
2022-12-01,31490.0
2023-01-01,27449.0
2023-02-01,3037.0
2023-03-01,23553.0
2023-04-01,6947.0
2023-05-01,24128.0
2023-06-01,4714.0
2023-07-01,6430.0
2023-08-01,253885.0
2023-09-01,5360.0
2023-10-01,74576.0
2023-11-01,339884.0
2023-12-01,93339.0
2024-01-01,78377.0
2024-02-01,435602.0
2024-03-01,113007.0
2024-04-01,124195.0
2024-05-01,101860.0
2024-06-01,116162.0
2024-07-01,71297.0
2024-08-01,429405.0
2024-09-01,70288.0
2024-10-01,372711.0
2024-11-01,172648.0
2024-12-01,189813.0
2025-01-01,120442.0
2025-02-01,166016.0
2025-03-01,129354.0
2025-04-01,150816.0
2025-05-01,96353.0
2025-06-01,106656.0
2025-07-01,498668.0
2025-08-01,97191.0
