Tarih,TP_ISTIRAKBS_A31
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,36001.0
2007-11-01,36002.0
2007-12-01,36002.0
2008-01-01,36002.0
2008-02-01,36002.0
2008-03-01,36002.0
2008-04-01,36002.0
2008-05-01,36002.0
2008-06-01,36002.0
2008-07-01,59977.0
2008-08-01,59977.0
2008-09-01,66191.0
2008-10-01,66192.0
2008-11-01,66192.0
2008-12-01,67260.0
2009-01-01,67259.0
2009-02-01,67259.0
2009-03-01,67259.0
2009-04-01,67259.0
2009-05-01,67259.0
2009-06-01,67259.0
2009-07-01,71629.0
2009-08-01,71629.0
2009-09-01,71630.0
2009-10-01,75630.0
2009-11-01,75630.0
2009-12-01,92065.0
2010-01-01,92065.0
2010-02-01,113613.0
2010-03-01,92065.0
2010-04-01,92065.0
2010-05-01,92065.0
2010-06-01,92065.0
2010-07-01,92065.0
2010-08-01,92065.0
2010-09-01,102983.0
2010-10-01,102983.0
2010-11-01,102983.0
2010-12-01,108135.0
2011-01-01,108135.0
2011-02-01,108135.0
2011-03-01,108135.0
2011-04-01,108135.0
2011-05-01,108135.0
2011-06-01,108135.0
2011-07-01,124301.0
2011-08-01,124301.0
2011-09-01,124301.0
2011-10-01,124301.0
2011-11-01,124301.0
2011-12-01,124301.0
2012-01-01,124301.0
2012-02-01,126613.0
2012-03-01,126614.0
2012-04-01,126614.0
2012-05-01,136413.0
2012-06-01,75064.0
2012-07-01,75064.0
2012-08-01,75064.0
2012-09-01,76064.0
2012-10-01,76064.0
2012-11-01,76064.0
2012-12-01,76275.0
2013-01-01,76275.0
2013-02-01,76275.0
2013-03-01,86074.0
2013-04-01,86074.0
2013-05-01,86074.0
2013-06-01,86074.0
2013-07-01,86074.0
2013-08-01,86074.0
2013-09-01,81863.0
2013-10-01,81863.0
2013-11-01,81863.0
2013-12-01,87363.0
2014-01-01,87329.0
2014-02-01,87329.0
2014-03-01,92329.0
2014-04-01,92329.0
2014-05-01,118581.0
2014-06-01,118581.0
2014-07-01,118581.0
2014-08-01,118581.0
2014-09-01,118581.0
2014-10-01,118581.0
2014-11-01,118581.0
2014-12-01,118581.0
