Tarih,TP_BL015_A
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,
2010-05-01,
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,18034657.0
2013-02-01,17602300.0
2013-03-01,24273200.0
2013-04-01,15014671.0
2013-05-01,27510732.0
2013-06-01,37534841.0
2013-07-01,24140814.0
2013-08-01,48492839.0
2013-09-01,41011424.0
2013-10-01,42167355.0
2013-11-01,43771469.0
2013-12-01,39081966.0
2014-01-01,52259332.0
2014-02-01,54529627.0
2014-03-01,56969177.0
2014-04-01,43025016.0
2014-05-01,52744408.0
2014-06-01,40908055.0
2014-07-01,35059663.0
2014-08-01,48555828.0
2014-09-01,48198933.0
2014-10-01,41169445.0
2014-11-01,44094029.0
2014-12-01,46454161.0
2015-01-01,49200348.0
2015-02-01,51615631.0
2015-03-01,60818616.0
2015-04-01,66657549.0
2015-05-01,73239514.0
2015-06-01,79367221.0
2015-07-01,63800162.0
2015-08-01,94525126.0
2015-09-01,89116585.0
2015-10-01,96560654.0
2015-11-01,92688238.0
2015-12-01,95475069.0
2016-01-01,102691060.0
2016-02-01,105705798.0
2016-03-01,109065015.0
2016-04-01,102468201.0
2016-05-01,111992670.0
2016-06-01,108474726.0
