Tarih,TP_IHRACATBEC_9999
2016-06-01,13465844.8
2016-07-01,10286292.93
2016-08-01,12342120.33
2016-09-01,11376777.02
2016-10-01,13491939.03
2016-11-01,13378228.02
2016-12-01,13455174.64
2017-01-01,11738727.56
2017-02-01,12643609.01
2017-03-01,15075608.16
2017-04-01,13420425.68
2017-05-01,14213768.01
2017-06-01,13671983.57
2017-07-01,13179496.04
2017-08-01,13916052.55
2017-09-01,12391566.74
2017-10-01,14672918.16
2017-11-01,14909379.88
2017-12-01,14661083.97
2018-01-01,13080096.76
2018-02-01,13827132.66
2018-03-01,16338253.92
2018-04-01,14530822.87
2018-05-01,15166648.04
2018-06-01,13657091.16
2018-07-01,14771360.7
2018-08-01,12926754.2
2018-09-01,15247368.85
2018-10-01,16590652.49
2018-11-01,16386878.39
2018-12-01,14645696.25
2019-01-01,13875105.18
2019-02-01,14323197.51
2019-03-01,16336019.24
2019-04-01,15341642.23
2019-05-01,16855276.44
2019-06-01,11635155.96
2019-07-01,15932825.86
2019-08-01,13224033.75
2019-09-01,15275275.1
2019-10-01,16414316.14
2019-11-01,16249041.3
2019-12-01,15408952.26
2020-01-01,14701347.0
2020-02-01,14608290.0
2020-03-01,13353076.0
2020-04-01,8978291.0
2020-05-01,9957512.0
2020-06-01,13460252.0
2020-07-01,14890653.0
2020-08-01,12456453.0
2020-09-01,15990798.0
2020-10-01,17315266.0
2020-11-01,16088682.0
2020-12-01,17837135.0
2021-01-01,15004011.0
2021-02-01,15952810.0
2021-03-01,18955872.0
2021-04-01,18757122.0
2021-05-01,16468843.0
2021-06-01,19740902.0
2021-07-01,16358547.0
2021-08-01,18861476.0
2021-09-01,20716889.0
2021-10-01,20713741.0
2021-11-01,21458347.0
2021-12-01,22233420.0
2022-01-01,17553745.0
2022-02-01,19904331.0
2022-03-01,22609642.0
2022-04-01,23330991.0
2022-05-01,18931812.0
2022-06-01,23359482.0
2022-07-01,18536548.0
2022-08-01,21275850.0
2022-09-01,22596774.0
2022-10-01,21300785.0
2022-11-01,21871039.0
2022-12-01,22898749.0
2023-01-01,19331709.0
2023-02-01,18565678.0
2023-03-01,23562970.0
2023-04-01,19250045.0
2023-05-01,21633012.0
2023-06-01,20773219.0
2023-07-01,19779817.0
2023-08-01,21556273.0
2023-09-01,22411386.0
2023-10-01,22804541.0
2023-11-01,23000730.0
2023-12-01,22958051.0
2024-01-01,20000625.0
2024-02-01,21091519.0
2024-03-01,22648722.0
2024-04-01,19292521.0
2024-05-01,24180070.0
2024-06-01,19015329.0
2024-07-01,22475505.0
2024-08-01,22000689.0
2024-09-01,21956026.0
2024-10-01,23473313.0
2024-11-01,22236792.0
2024-12-01,23407021.0
2025-01-01,21161149.0
2025-02-01,20730655.0
2025-03-01,23402390.0
2025-04-01,20781970.0
2025-05-01,24820539.0
2025-06-01,20482596.0
2025-07-01,24910039.0
2025-08-01,21729030.0
